Depth	Density	sigma_D	sigma_o18	sigma_o17
0.00	350.000	0.000000	0.000000	0.000000
0.50	354.038	0.012345	0.013770	0.013949
1.00	358.092	0.017305	0.019302	0.019553
1.50	362.164	0.021009	0.023433	0.023737
2.00	366.251	0.024047	0.026821	0.027169
2.50	370.354	0.026650	0.029725	0.030111
3.00	374.471	0.028940	0.032279	0.032698
3.50	378.602	0.030988	0.034563	0.035012
4.00	382.747	0.032841	0.036629	0.037105
4.50	386.905	0.034532	0.038516	0.039016
5.00	391.074	0.036087	0.040250	0.040773
5.50	395.256	0.037523	0.041852	0.042396
6.00	399.447	0.038856	0.043339	0.043902
6.50	403.649	0.040097	0.044723	0.045304
7.00	407.861	0.041256	0.046015	0.046613
7.50	412.081	0.042341	0.047226	0.047839
8.00	416.309	0.043358	0.048361	0.048989
8.50	420.544	0.044315	0.049427	0.050069
9.00	424.785	0.045214	0.050430	0.051086
9.50	429.033	0.046062	0.051376	0.052043
10.00	433.286	0.046861	0.052267	0.052946
10.50	437.543	0.047615	0.053109	0.053799
11.00	441.803	0.048328	0.053903	0.054604
11.50	446.067	0.049001	0.054654	0.055365
12.00	450.332	0.049638	0.055364	0.056084
12.50	454.599	0.050240	0.056036	0.056764
13.00	458.867	0.050809	0.056671	0.057407
13.50	463.135	0.051348	0.057272	0.058016
14.00	467.402	0.051858	0.057841	0.058592
14.50	471.667	0.052340	0.058378	0.059137
15.00	475.930	0.052796	0.058887	0.059652
15.50	480.190	0.053227	0.059368	0.060140
16.00	484.446	0.053635	0.059823	0.060600
16.50	488.698	0.054020	0.060253	0.061035
17.00	492.945	0.054384	0.060658	0.061446
17.50	497.185	0.054728	0.061041	0.061834
18.00	501.419	0.055051	0.061403	0.062200
18.50	505.646	0.055357	0.061743	0.062545
19.00	509.864	0.055644	0.062064	0.062870
19.50	514.074	0.055914	0.062365	0.063175
20.00	518.274	0.056168	0.062648	0.063462
20.50	522.464	0.056406	0.062914	0.063731
21.00	526.644	0.056630	0.063163	0.063983
21.50	530.811	0.056838	0.063396	0.064219
22.00	534.967	0.057033	0.063613	0.064439
22.50	539.109	0.057214	0.063815	0.064644
23.00	543.238	0.057383	0.064003	0.064835
23.50	547.353	0.057539	0.064178	0.065011
24.00	550.903	0.057733	0.064394	0.065230
24.50	553.442	0.058029	0.064724	0.065565
25.00	555.976	0.058314	0.065042	0.065887
25.50	558.503	0.058589	0.065348	0.066198
26.00	561.024	0.058854	0.065644	0.066497
26.50	563.538	0.059109	0.065928	0.066785
27.00	566.046	0.059355	0.066202	0.067062
27.50	568.547	0.059591	0.066466	0.067329
28.00	571.041	0.059818	0.066719	0.067586
28.50	573.528	0.060037	0.066963	0.067833
29.00	576.008	0.060247	0.067198	0.068071
29.50	578.480	0.060449	0.067423	0.068299
30.00	580.945	0.060644	0.067640	0.068519
30.50	583.402	0.060830	0.067848	0.068729
31.00	585.852	0.061009	0.068047	0.068931
31.50	588.294	0.061180	0.068239	0.069125
32.00	590.728	0.061345	0.068422	0.069311
32.50	593.153	0.061502	0.068598	0.069489
33.00	595.571	0.061653	0.068766	0.069659
33.50	597.980	0.061797	0.068927	0.069822
34.00	600.381	0.061935	0.069081	0.069978
34.50	602.773	0.062067	0.069227	0.070127
35.00	605.156	0.062193	0.069368	0.070269
35.50	607.531	0.062312	0.069501	0.070404
36.00	609.897	0.062426	0.069628	0.070533
36.50	612.253	0.062534	0.069749	0.070655
37.00	614.601	0.062637	0.069863	0.070771
37.50	616.939	0.062735	0.069972	0.070881
38.00	619.268	0.062827	0.070075	0.070986
38.50	621.588	0.062914	0.070173	0.071084
39.00	623.898	0.062997	0.070264	0.071177
39.50	626.199	0.063074	0.070351	0.071265
40.00	628.489	0.063147	0.070432	0.071347
40.50	630.770	0.063215	0.070508	0.071424
41.00	633.041	0.063279	0.070579	0.071496
