CD temperatures [deg C] from synthetic data. 
  T_18,    T_D,   T_17,  T_diff1_18D, T_diff2_18D, T_diff3_18D, T_diff1_17D, T_diff2_17D, T_division_18D, T_division_17D 
-5.447640e+01 -5.473832e+01 -5.475867e+01 -5.325264e+01 -5.455907e+01 -5.605936e+01 -5.484476e+01 -5.455569e+01 -6.274623e+01 -5.412880e+01 
-5.438883e+01 -5.397029e+01 -5.419738e+01 -5.664985e+01 -5.632371e+01 -5.723476e+01 -5.521435e+01 -5.607544e+01 -3.902643e+01 -4.658120e+01 
-5.579830e+01 -5.592086e+01 -5.511774e+01 -5.522513e+01 -5.449209e+01 -5.566072e+01 -5.218213e+01 -5.454381e+01 -5.970916e+01 -7.681989e+01 
-5.532854e+01 -5.502091e+01 -5.466863e+01 -5.692057e+01 -5.294424e+01 -5.529640e+01 -5.326800e+01 -5.432189e+01 -4.442895e+01 -6.507060e+01 
-5.536760e+01 -5.529929e+01 -5.159396e+01 -5.566505e+01 -5.494489e+01 -5.529640e+01 -4.178054e+01 -5.417143e+01 -5.322132e+01 -1.199685e+02 
-5.493074e+01 -5.506452e+01 -5.472327e+01 -5.428257e+01 -5.411460e+01 -5.644632e+01 -5.336426e+01 -5.457593e+01 -5.921411e+01 -6.482269e+01 
-5.442448e+01 -5.465150e+01 -5.450193e+01 -5.336676e+01 -5.282099e+01 -5.529640e+01 -5.388297e+01 -5.309153e+01 -6.157234e+01 -5.911003e+01 
-5.520914e+01 -5.519071e+01 -5.493192e+01 -5.529843e+01 -5.436096e+01 -5.566072e+01 -5.388411e+01 -5.532131e+01 -5.459245e+01 -6.274491e+01 
-5.423222e+01 -5.431041e+01 -5.435576e+01 -5.385534e+01 -5.551328e+01 -5.683810e+01 -5.454373e+01 -5.443767e+01 -5.677932e+01 -5.289722e+01 
-5.512884e+01 -5.524754e+01 -5.481345e+01 -5.455370e+01 -5.578924e+01 -5.683810e+01 -5.311320e+01 -5.465996e+01 -5.900146e+01 -6.744852e+01 
-5.518246e+01 -5.533327e+01 -5.470947e+01 -5.447532e+01 -5.483463e+01 -5.566072e+01 -5.234464e+01 -5.479600e+01 -5.994173e+01 -7.218480e+01 
-5.424521e+01 -5.429187e+01 -5.415755e+01 -5.401879e+01 -5.435348e+01 -5.529640e+01 -5.359724e+01 -5.447627e+01 -5.577617e+01 -5.831858e+01 
-5.490747e+01 -5.506702e+01 -5.486652e+01 -5.416056e+01 -5.563189e+01 -5.605936e+01 -5.405212e+01 -5.625743e+01 -5.998320e+01 -6.094763e+01 
-5.579520e+01 -5.514450e+01 -5.525778e+01 -5.943259e+01 -5.332848e+01 -5.529640e+01 -5.575788e+01 -5.384101e+01 -3.065964e+01 -5.152035e+01 
-5.481956e+01 -5.500457e+01 -5.490095e+01 -5.396310e+01 -5.340454e+01 -5.566072e+01 -5.446257e+01 -5.398719e+01 -6.064131e+01 -5.810338e+01 
-5.528470e+01 -5.510703e+01 -5.473936e+01 -5.617426e+01 -5.675469e+01 -5.683810e+01 -5.329485e+01 -5.663907e+01 -4.920427e+01 -6.549525e+01 
-5.413749e+01 -5.446534e+01 -5.442179e+01 -5.263337e+01 -5.445896e+01 -5.529640e+01 -5.423762e+01 -5.515227e+01 -6.425984e+01 -5.579469e+01 
-5.445915e+01 -5.456943e+01 -5.406619e+01 -5.393303e+01 -5.464056e+01 -5.605936e+01 -5.209895e+01 -5.523167e+01 -5.802064e+01 -6.855051e+01 
-5.524111e+01 -5.557354e+01 -5.479804e+01 -5.375738e+01 -5.460313e+01 -5.644632e+01 -5.194119e+01 -5.505621e+01 -6.534764e+01 -7.587583e+01 
-5.479126e+01 -5.509522e+01 -5.491412e+01 -5.341302e+01 -5.208054e+01 -5.566072e+01 -5.417358e+01 -5.386727e+01 -6.414159e+01 -6.044434e+01 
-5.492457e+01 -5.537931e+01 -5.490672e+01 -5.291598e+01 -5.551706e+01 -5.644632e+01 -5.307573e+01 -5.356681e+01 -6.852145e+01 -6.850415e+01 
-5.495270e+01 -5.489166e+01 -5.479429e+01 -5.524845e+01 -5.485930e+01 -5.605936e+01 -5.438233e+01 -5.573857e+01 -5.292428e+01 -5.778440e+01 
