sigma_18, sigma_D, sigma_17,  diff1,  diff2, diff2_17O,  divis,  diff3 
5.915436e-02 5.252751e-02 5.914102e-02 7.400985e-04 6.664017e-04 7.556875e-04 1.268235e+00 5.906746e-04 
5.938938e-02 5.444416e-02 6.066910e-02 5.629328e-04 5.781074e-04 6.679112e-04 1.189913e+00 5.365967e-04 
5.570531e-02 4.971134e-02 5.819044e-02 6.318634e-04 6.698748e-04 7.563928e-04 1.255689e+00 6.092774e-04 
5.691002e-02 5.184733e-02 5.938940e-02 5.506051e-04 7.584173e-04 7.705939e-04 1.204827e+00 6.281686e-04 
5.680897e-02 5.116841e-02 6.818711e-02 6.090528e-04 6.463955e-04 7.800373e-04 1.232622e+00 6.281686e-04 
5.794763e-02 5.174156e-02 5.924258e-02 6.807382e-04 6.909547e-04 7.544856e-04 1.254273e+00 5.723602e-04 
5.929361e-02 5.274763e-02 5.983934e-02 7.334197e-04 7.658475e-04 8.509137e-04 1.263601e+00 6.281686e-04 
5.721494e-02 5.143429e-02 5.868430e-02 6.280636e-04 6.766739e-04 7.102214e-04 1.237409e+00 6.092774e-04 
5.981170e-02 5.359121e-02 6.023633e-02 7.054213e-04 6.169229e-04 7.626957e-04 1.245619e+00 5.543342e-04 
5.742724e-02 5.129530e-02 5.899699e-02 6.666809e-04 6.037684e-04 7.494954e-04 1.253375e+00 5.543342e-04 
5.728557e-02 5.109689e-02 5.927963e-02 6.707440e-04 6.521128e-04 7.414166e-04 1.256902e+00 6.092774e-04 
5.977657e-02 5.363738e-02 6.077835e-02 6.962691e-04 6.770620e-04 7.604037e-04 1.242015e+00 6.281686e-04 
5.800844e-02 5.173549e-02 5.885712e-02 6.884180e-04 6.107724e-04 6.579968e-04 1.257202e+00 5.906746e-04 
5.571318e-02 5.154703e-02 5.781548e-02 4.468621e-04 7.356539e-04 8.011428e-04 1.168177e+00 6.281686e-04 
5.823766e-02 5.188689e-02 5.876620e-02 6.993759e-04 7.312200e-04 7.917432e-04 1.259774e+00 6.092774e-04 
5.702361e-02 5.163826e-02 5.919171e-02 5.851816e-04 5.581292e-04 6.376322e-04 1.219456e+00 5.543342e-04 
6.006844e-02 5.320657e-02 6.005672e-02 7.772778e-04 6.715927e-04 7.202600e-04 1.274565e+00 6.281686e-04 
5.920058e-02 5.294951e-02 6.102961e-02 7.010587e-04 6.621758e-04 7.155450e-04 1.250052e+00 5.906746e-04 
5.713019e-02 5.052624e-02 5.903756e-02 7.109580e-04 6.641166e-04 7.259643e-04 1.278490e+00 5.723602e-04 
5.831126e-02 5.166697e-02 5.873140e-02 7.307277e-04 8.118090e-04 7.994464e-04 1.273735e+00 6.092774e-04 
5.796377e-02 5.098709e-02 5.875096e-02 7.601152e-04 6.167267e-04 8.190437e-04 1.292388e+00 5.723602e-04 
5.789016e-02 5.215952e-02 5.904742e-02 6.306551e-04 6.508337e-04 6.866187e-04 1.231806e+00 5.906746e-04 
5.868307e-02 5.113091e-02 5.920992e-02 8.293326e-04 6.304633e-04 7.679916e-04 1.317221e+00 5.543342e-04 
5.848737e-02 5.190893e-02 5.865087e-02 7.262355e-04 6.422663e-04 7.646795e-04 1.269521e+00 5.906746e-04 
5.917759e-02 5.178611e-02 6.024280e-02 8.201871e-04 6.480400e-04 7.875047e-04 1.305834e+00 6.281686e-04 
6.219598e-02 5.052592e-02 5.783312e-02 1.315471e-03 6.569766e-04 8.376702e-04 1.515291e+00 5.906746e-04 
5.818966e-02 5.187719e-02 5.893376e-02 6.947945e-04 6.602326e-04 6.623315e-04 1.258169e+00 5.906746e-04 
5.556092e-02 5.112083e-02 5.793338e-02 4.736766e-04 5.726945e-04 8.087363e-04 1.181253e+00 5.543342e-04 
5.682648e-02 5.281707e-02 5.831898e-02 4.396062e-04 6.773060e-04 7.743107e-04 1.157585e+00 5.906746e-04 
5.885325e-02 5.099322e-02 6.000171e-02 8.633961e-04 6.086629e-04 7.310921e-04 1.332036e+00 5.723602e-04 
5.915489e-02 5.192714e-02 5.990418e-02 8.028741e-04 6.274236e-04 7.817111e-04 1.297755e+00 6.473482e-04 
5.714008e-02 5.137221e-02 5.844355e-02 6.258849e-04 6.504099e-04 7.428685e-04 1.237158e+00 5.543342e-04 
5.921670e-02 5.223099e-02 5.992485e-02 7.785414e-04 6.490604e-04 7.145693e-04 1.285381e+00 6.092774e-04 
5.887078e-02 5.280303e-02 6.009741e-02 6.776087e-04 6.440050e-04 7.165508e-04 1.243031e+00 5.723602e-04 
5.802454e-02 5.145610e-02 5.883922e-02 7.191165e-04 7.182284e-04 8.029191e-04 1.271597e+00 5.723602e-04 
5.576146e-02 5.161373e-02 5.751975e-02 4.453632e-04 7.101330e-04 7.542185e-04 1.167180e+00 5.723602e-04 
5.755147e-02 5.172337e-02 5.903047e-02 6.368645e-04 7.144115e-04 8.229755e-04 1.238053e+00 5.906746e-04 
5.835023e-02 5.076155e-02 5.924591e-02 8.280143e-04 6.333048e-04 7.016720e-04 1.321342e+00 6.092774e-04 
5.829601e-02 5.225296e-02 5.877438e-02 6.680526e-04 6.611060e-04 6.816937e-04 1.244675e+00 6.281686e-04 
5.990299e-02 5.247560e-02 6.015795e-02 8.346796e-04 6.390871e-04 6.462110e-04 1.303113e+00 6.092774e-04 
5.900785e-02 5.206045e-02 5.798519e-02 7.716357e-04 7.346330e-04 8.400728e-04 1.284706e+00 5.723602e-04 
5.864532e-02 5.277580e-02 5.966882e-02 6.539877e-04 6.674778e-04 7.828299e-04 1.234801e+00 5.723602e-04 
5.806746e-02 5.157310e-02 6.025573e-02 7.120452e-04 6.910228e-04 7.153298e-04 1.267708e+00 5.906746e-04 
5.796330e-02 5.091087e-02 5.863695e-02 7.678281e-04 6.604403e-04 8.874143e-04 1.296240e+00 6.092774e-04 
5.999366e-02 5.284573e-02 6.069375e-02 8.065679e-04 5.732648e-04 7.515285e-04 1.288816e+00 6.092774e-04 
5.728577e-02 5.131038e-02 5.874051e-02 6.489043e-04 6.381761e-04 7.210513e-04 1.246473e+00 5.365967e-04 
5.746995e-02 5.034788e-02 5.798587e-02 7.678853e-04 4.750724e-04 5.851530e-04 1.302924e+00 5.723602e-04 
5.911598e-02 5.258564e-02 5.964973e-02 7.294499e-04 6.146780e-04 7.296089e-04 1.263792e+00 5.723602e-04 
5.728724e-02 5.141914e-02 5.930180e-02 6.378994e-04 6.820275e-04 7.891927e-04 1.241270e+00 5.723602e-04 
5.576883e-02 5.017139e-02 5.717352e-02 5.929947e-04 6.543979e-04 7.291565e-04 1.235580e+00 6.281686e-04 
5.635514e-02 5.076463e-02 5.847788e-02 5.988539e-04 6.315005e-04 7.671785e-04 1.232380e+00 6.473482e-04 
5.696122e-02 5.150867e-02 5.921612e-02 5.914368e-04 7.007519e-04 7.668226e-04 1.222919e+00 5.723602e-04 
5.716115e-02 5.292036e-02 5.897253e-02 4.668327e-04 6.408339e-04 7.742685e-04 1.166692e+00 5.906746e-04 
5.729667e-02 5.180600e-02 5.980896e-02 5.990470e-04 5.955393e-04 6.719264e-04 1.223203e+00 5.365967e-04 
5.794802e-02 5.276827e-02 5.985146e-02 5.734832e-04 6.431083e-04 8.830883e-04 1.205956e+00 5.365967e-04 
5.712918e-02 5.047126e-02 5.819366e-02 7.163945e-04 7.475718e-04 8.057289e-04 1.281231e+00 5.906746e-04 
5.882376e-02 5.148720e-02 5.920465e-02 8.093022e-04 5.381608e-04 6.978318e-04 1.305290e+00 5.723602e-04 
5.950210e-02 5.252398e-02 5.961149e-02 7.817322e-04 6.877559e-04 6.916590e-04 1.283363e+00 5.906746e-04 
5.819579e-02 5.253207e-02 5.956020e-02 6.271326e-04 6.585728e-04 7.153158e-04 1.227253e+00 5.543342e-04 
5.997405e-02 5.279531e-02 6.003560e-02 8.095427e-04 6.245155e-04 7.402955e-04 1.290435e+00 6.281686e-04 
5.643600e-02 5.108140e-02 5.813588e-02 5.757134e-04 7.812443e-04 7.618850e-04 1.220638e+00 5.723602e-04 
5.682070e-02 5.035461e-02 5.732646e-02 6.930054e-04 7.187794e-04 7.220370e-04 1.273312e+00 5.906746e-04 
5.832432e-02 5.252854e-02 5.868049e-02 6.424789e-04 5.437495e-04 6.972693e-04 1.232846e+00 5.723602e-04 
