sigma_18, sigma_D, sigma_17, diff1, diff2, diff2_17O, divis,
5.915435622973164859e-02 5.252751016016403429e-02 5.914102184204885621e-02 7.400985373278556184e-04 6.664017476814779878e-04 7.556875065113934867e-04 1.268235290255367742e+00
5.938938467521718417e-02 5.444415715988780435e-02 6.066910409420954442e-02 5.629327632503591111e-04 5.781074209645069729e-04 6.679111615258861816e-04 1.189912682349936413e+00
5.570530554319429173e-02 4.971134325149640515e-02 5.819043902418729458e-02 6.318634177925352459e-04 6.698747594121856868e-04 7.563928112786560617e-04 1.255689100609021391e+00
5.691002011155061463e-02 5.184732630740263720e-02 5.938939871653207275e-02 5.506051438708098149e-04 7.584173341114933001e-04 7.705939263563831758e-04 1.204827155395935545e+00
5.680896897546967167e-02 5.116840984862584818e-02 6.818711282955602915e-02 6.090527896189250508e-04 6.463954801974613508e-04 7.800373427578454616e-04 1.232622166056452695e+00
5.794762651990670310e-02 5.174156201788475407e-02 5.924258263961854759e-02 6.807381792399802393e-04 6.909547307355813368e-04 7.544856158667955469e-04 1.254273463024642377e+00
5.929360871088283635e-02 5.274762903961214416e-02 5.983934410518108177e-02 7.334196646587463550e-04 7.658474787550983379e-04 8.509136796776211676e-04 1.263600763433735619e+00
5.721494483840829787e-02 5.143429139035573389e-02 5.868430299628515229e-02 6.280635820340822739e-04 6.766739499917675746e-04 7.102213961407972780e-04 1.237409498100676908e+00
5.981169916456382379e-02 5.359121205124408455e-02 6.023633227254224926e-02 7.054213478308759937e-04 6.169229000239199751e-04 7.626957292386746289e-04 1.245618706286132804e+00
5.742724232911019383e-02 5.129529504994789768e-02 5.899699351024518396e-02 6.666808672651366660e-04 6.037683836389493540e-04 7.494953854615370170e-04 1.253374513182294647e+00
5.728557067728088509e-02 5.109689468494667958e-02 5.927962939215970783e-02 6.707439613772114666e-04 6.521127922908938552e-04 7.414165701354184269e-04 1.256902160374391064e+00
5.977656782216192455e-02 5.363738354337962977e-02 6.077835226866414725e-02 6.962691472179121342e-04 6.770620149257295739e-04 7.604036932117860326e-04 1.242014831644460138e+00
5.800843653584776549e-02 5.173548837546303181e-02 5.885711588090123542e-02 6.884179518858077849e-04 6.107723512263512657e-04 6.579968226033639997e-04 1.257202437856210997e+00
5.571317630380619862e-02 5.154702581902865371e-02 5.781547869233865516e-02 4.468621430713860289e-04 7.356539127854537334e-04 8.011428055468017024e-04 1.168176898690120868e+00
5.823766366873273786e-02 5.188689186332022529e-02 5.876620372563701872e-02 6.993759223565465186e-04 7.312199760288697796e-04 7.917432276561901490e-04 1.259773810000113459e+00
5.702360527928099221e-02 5.163826063123899690e-02 5.919171216527512047e-02 5.851815980274757863e-04 5.581291895053616886e-04 6.376322248779855463e-04 1.219455995507956692e+00
6.006843937908812325e-02 5.320657469260426514e-02 6.005672330622068011e-02 7.772778189195079894e-04 6.715927107031034000e-04 7.202599584279740326e-04 1.274565314471024280e+00
5.920058221985724511e-02 5.294950667991484700e-02 6.102960738646458910e-02 7.010586775237307583e-04 6.621757810177309389e-04 7.155449915283141303e-04 1.250052115313508017e+00
5.713019002839418714e-02 5.052623704467062299e-02 5.903755637885165636e-02 7.109579827861848070e-04 6.641166219926444240e-04 7.259642570743941653e-04 1.278490268857678247e+00
5.831126365287416652e-02 5.166696955433460609e-02 5.873139817532156692e-02 7.307277258664646169e-04 8.118090009095886269e-04 7.994463613784938503e-04 1.273734544246063249e+00
5.796376740194703753e-02 5.098708801949689007e-02 5.875095587408529774e-02 7.601151867190946224e-04 6.167266676153041350e-04 8.190437127253223214e-04 1.292387627417761475e+00
5.789016143183037255e-02 5.215952156946430940e-02 5.904741658985301206e-02 6.306551002479682776e-04 6.508337059598910982e-04 6.866187013118365710e-04 1.231806021880871294e+00
5.868306505135268553e-02 5.113090556957088084e-02 5.920991547204081107e-02 8.293326194569162167e-04 6.304633182468738929e-04 7.679915839015429881e-04 1.317220889423796226e+00
5.848737135541434706e-02 5.190893132339591265e-02 5.865086652240760617e-02 7.262354569291091209e-04 6.422662510848019908e-04 7.646794887401302775e-04 1.269521411728413041e+00
5.917759488891371350e-02 5.178610506319474699e-02 6.024279871323517249e-02 8.201870592201418106e-04 6.480399685721373098e-04 7.875046537392065005e-04 1.305834458938677001e+00
6.219597600923280206e-02 5.052591709303368150e-02 5.783312195007598439e-02 1.315471133648949027e-03 6.569766176584643930e-04 8.376701507814848400e-04 1.515291421273892825e+00
5.818966296625518314e-02 5.187718579226068688e-02 5.893376139266057190e-02 6.947944704016359267e-04 6.602325592195421641e-04 6.623314984385428794e-04 1.258168669207830881e+00
5.556092237468163164e-02 5.112083241642089576e-02 5.793337936521929937e-02 4.736765881776083126e-04 5.726944580161058389e-04 8.087362600703644445e-04 1.181253368312191521e+00
5.682648391298186774e-02 5.281707217731371196e-02 5.831898104949233969e-02 4.396061605288210765e-04 6.773060227860070457e-04 7.743107401795561607e-04 1.157585089798681022e+00
5.885324856803952898e-02 5.099322307852283132e-02 6.000171195919182937e-02 8.633960670754530463e-04 6.086628851568624604e-04 7.310920591891379924e-04 1.332035974764499198e+00
5.915489425177219984e-02 5.192713572324591381e-02 5.990418463533261212e-02 8.028740895179497725e-04 6.274235952939190850e-04 7.817110788637199542e-04 1.297754755884270805e+00
5.714007791515859913e-02 5.137220615028785520e-02 5.844354706341128858e-02 6.258849394027220063e-04 6.504099369939703819e-04 7.428684601296790856e-04 1.237158157702902939e+00
5.921670000203069217e-02 5.223098858126077465e-02 5.992485458014054633e-02 7.785413909547084926e-04 6.490604393085950587e-04 7.145692548191282228e-04 1.285381104837443944e+00
5.887078129369486407e-02 5.280303239718149577e-02 6.009740665687213212e-02 6.776086597922543683e-04 6.440050268718658551e-04 7.165507983917703818e-04 1.243030745657741187e+00
5.802453885261827510e-02 5.145610393266072252e-02 5.883921670665157033e-02 7.191164771302251991e-04 7.182283531494094639e-04 8.029191461925206828e-04 1.271597294852601090e+00
5.576145971629969944e-02 5.161373034349636679e-02 5.751974982828209765e-02 4.453632297213567896e-04 7.101329773356180718e-04 7.542185441202783154e-04 1.167179822865365146e+00
5.755146872855979728e-02 5.172337079448198482e-02 5.903047337267395417e-02 6.368644664709243938e-04 7.144115471684797701e-04 8.229754534593953456e-04 1.238052846240306204e+00
5.835022766397282568e-02 5.076154775850872519e-02 5.924591415797967470e-02 8.280143375980972276e-04 6.333048359068265114e-04 7.016720099639006626e-04 1.321342483449343908e+00
5.829600770425334699e-02 5.225296094698454741e-02 5.877438234985756654e-02 6.680525865272735064e-04 6.611060207039867655e-04 6.816937442499566195e-04 1.244674573358727887e+00
5.990299219727567015e-02 5.247560298461989570e-02 6.015794555008763256e-02 8.346795655874211448e-04 6.390870693963510672e-04 6.462110227609423789e-04 1.303113239473353113e+00
5.900784939382393290e-02 5.206045091824582777e-02 5.798519152324180248e-02 7.716357402731245999e-04 7.346329506752175128e-04 8.400727738029750138e-04 1.284705911079131457e+00
5.864531500265617731e-02 5.277580174252069489e-02 5.966881634417408459e-02 6.539877221949192895e-04 6.674778327675656058e-04 7.828298733785262614e-04 1.234800985750690305e+00
5.806745726989346462e-02 5.157309731982544221e-02 6.025572641384052686e-02 7.120452266307173567e-04 6.910227772678311647e-04 7.153297572559190031e-04 1.267707877158086305e+00
5.796330291666377393e-02 5.091086697093928637e-02 5.863695098651305893e-02 7.678281092762463851e-04 6.604403436530560841e-04 8.874142561224062677e-04 1.296239537843576706e+00
5.999366127031486445e-02 5.284573321104921867e-02 6.069374966971819579e-02 8.065678740038872800e-04 5.732647529762965270e-04 7.515284795431227726e-04 1.288815877065399462e+00
5.728577242811243309e-02 5.131038338388035913e-02 5.874051426448431701e-02 6.489042796847012406e-04 6.381761486364647459e-04 7.210512719871723731e-04 1.246473435810311114e+00
5.746994586206539968e-02 5.034788312488928247e-02 5.798587339437007160e-02 7.678853422312171585e-04 4.750724018302562922e-04 5.851529905493726936e-04 1.302924184143849695e+00
5.911597963746922230e-02 5.258563626831976728e-02 5.964973288513891053e-02 7.294499067536487982e-04 6.146779853751582019e-04 7.296088647665179136e-04 1.263791748722355113e+00
5.728723515589732862e-02 5.141913929151241403e-02 5.930179511884258597e-02 6.378994263271232749e-04 6.820275105069198126e-04 7.891927025445057272e-04 1.241269601122772182e+00
5.576883474482679376e-02 5.017138810096565676e-02 5.717351828532071800e-02 5.929947448180821097e-04 6.543978854929654405e-04 7.291565451467559803e-04 1.235580104894306697e+00
5.635514106478720781e-02 5.076463408262550658e-02 5.847788338492049959e-02 5.988538508892018650e-04 6.315004800958840632e-04 7.671785297796156634e-04 1.232379774765284930e+00
5.696121772789899951e-02 5.150867426740370764e-02 5.921611622091543098e-02 5.914368002596184261e-04 7.007518611126468998e-04 7.668226137482029876e-04 1.222919263407521662e+00
5.716114833384019350e-02 5.292035687678066369e-02 5.897252691340954672e-02 4.668327068774553654e-04 6.408339262537985368e-04 7.742684712419320263e-04 1.166692379896357545e+00
5.729667180959210904e-02 5.180599988928494964e-02 5.980895781986602516e-02 5.990469759275152302e-04 5.955393307618646933e-04 6.719263798711209859e-04 1.223203376229478501e+00
5.794802497641356881e-02 5.276827065309238479e-02 5.985146164790450252e-02 5.734832109490395520e-04 6.431083406692055015e-04 8.830882783768294808e-04 1.205956254501215685e+00
5.712917521883652955e-02 5.047126091923088975e-02 5.819366038433534255e-02 7.163944824074425233e-04 7.475718233197094350e-04 8.057289143081427813e-04 1.281231473724712799e+00
5.882375588152955609e-02 5.148720291130658849e-02 5.920465314032507392e-02 8.093021923797254560e-04 5.381608409613106636e-04 6.978318081900752954e-04 1.305289676594543202e+00
5.950210200337893024e-02 5.252397504451386534e-02 5.961149020582599822e-02 7.817321883437956809e-04 6.877558861488881729e-04 6.916589836753157328e-04 1.283362791377673284e+00
5.819579428928658982e-02 5.253206500402210488e-02 5.956019522564173080e-02 6.271326193741577279e-04 6.585728490864757806e-04 7.153157725829791501e-04 1.227253428788715794e+00
5.997405300399611533e-02 5.279530643161426534e-02 6.003560100109259917e-02 8.095426525180850381e-04 6.245155212205943203e-04 7.402954512976205569e-04 1.290435103023482410e+00
5.643600401207898160e-02 5.108139737721587720e-02 5.813588112819487175e-02 5.757133908423578764e-04 7.812443459472086542e-04 7.618849874816533037e-04 1.220638244063666500e+00
5.682069884831407458e-02 5.035460666221167753e-02 5.732645693768090300e-02 6.930054055047478456e-04 7.187793774555592237e-04 7.220369652733192936e-04 1.273311689239231548e+00
5.832432253148956552e-02 5.252854208209940118e-02 5.868049052099285484e-02 6.424788654863333552e-04 5.437494918059016143e-04 6.972693175524612499e-04 1.232845662148907895e+00
5.888017695045248689e-02 5.150711839610216947e-02 5.969850504631742105e-02 8.138919922465099634e-04 6.854983821242550783e-04 6.784079203394387855e-04 1.306783691015091620e+00
5.932954424860053394e-02 5.304423064786282366e-02 6.024878283269118062e-02 7.063044157229790912e-04 6.646930743553173138e-04 7.776049883193367337e-04 1.251024211641023509e+00
5.834944028910012820e-02 5.332343446165292711e-02 6.007185280385959891e-02 5.612685192650664588e-04 8.059285402570494101e-04 7.808344625936133702e-04 1.197394231260346720e+00
5.849213726914738454e-02 5.194554243257543114e-02 5.969821597501880767e-02 7.229907436982858579e-04 6.793996579957022140e-04 7.963843402362727735e-04 1.267939144137427698e+00
