sigma_18, sigma_D, sigma_17,  diff1,  diff2, diff2_17O,  divis,  diff3 
8.406120e-02 7.947352e-02 8.866239e-02 7.502452e-04 9.119011e-04 1.292218e-03 1.118784e+00 8.879600e-04 
8.380337e-02 7.831881e-02 8.617316e-02 8.891689e-04 8.364840e-04 1.171058e-03 1.144961e+00 9.366065e-04 
8.553854e-02 7.710383e-02 8.676489e-02 1.371840e-03 8.719255e-04 1.091569e-03 1.230755e+00 1.012008e-03 
8.344520e-02 7.628103e-02 8.495632e-02 1.144305e-03 9.941047e-04 1.262887e-03 1.196657e+00 9.614162e-04 
8.448344e-02 7.951262e-02 8.732005e-02 8.151949e-04 1.030111e-03 1.222523e-03 1.128941e+00 9.366065e-04 
8.184912e-02 7.528519e-02 8.501738e-02 1.031418e-03 9.191674e-04 1.165896e-03 1.181977e+00 9.121211e-04 
8.621742e-02 7.788063e-02 8.795454e-02 1.368051e-03 1.003435e-03 1.276889e-03 1.225550e+00 9.865502e-04 
8.671111e-02 7.821381e-02 8.535882e-02 1.401415e-03 8.593693e-04 1.242460e-03 1.229087e+00 1.012008e-03 
8.305992e-02 7.577220e-02 8.393086e-02 1.157524e-03 1.000322e-03 1.177958e-03 1.201609e+00 1.037791e-03 
8.476810e-02 7.826821e-02 8.569608e-02 1.059718e-03 1.141526e-03 1.194199e-03 1.172989e+00 1.037791e-03 
8.303103e-02 7.643501e-02 8.544345e-02 1.051841e-03 1.164201e-03 1.248263e-03 1.180039e+00 1.063898e-03 
8.562358e-02 7.802235e-02 8.648801e-02 1.243910e-03 9.994562e-04 1.289138e-03 1.204339e+00 1.012008e-03 
8.051943e-02 7.615984e-02 8.236780e-02 6.830576e-04 1.075102e-03 1.236491e-03 1.117762e+00 9.121211e-04 
8.401003e-02 7.831811e-02 8.540832e-02 9.239595e-04 1.031575e-03 1.175135e-03 1.150636e+00 1.063898e-03 
8.440022e-02 7.715584e-02 8.554517e-02 1.170373e-03 9.946736e-04 1.187004e-03 1.196601e+00 1.012008e-03 
9.123130e-02 8.024166e-02 9.000436e-02 1.884426e-03 1.029623e-03 1.370511e-03 1.292671e+00 1.090329e-03 
8.305958e-02 7.627452e-02 8.413209e-02 1.081092e-03 9.592597e-04 1.216052e-03 1.185825e+00 9.865502e-04 
8.495660e-02 8.102560e-02 8.745649e-02 6.524760e-04 9.012342e-04 1.351778e-03 1.099385e+00 8.174226e-04 
8.321727e-02 7.581012e-02 8.525505e-02 1.177939e-03 1.028873e-03 1.277824e-03 1.204960e+00 9.366065e-04 
8.248826e-02 7.725284e-02 8.585517e-02 8.363118e-04 1.009483e-03 1.303209e-03 1.140133e+00 9.366065e-04 
8.490654e-02 7.926883e-02 8.782488e-02 9.255734e-04 1.033175e-03 1.100101e-03 1.147301e+00 9.614162e-04 
8.230554e-02 7.628664e-02 8.497713e-02 9.545498e-04 1.085371e-03 1.248908e-03 1.164022e+00 1.037791e-03 
8.643601e-02 7.820095e-02 8.730068e-02 1.355797e-03 1.026352e-03 1.119401e-03 1.221702e+00 1.037791e-03 
8.497826e-02 7.930019e-02 8.661208e-02 9.327851e-04 1.174623e-03 1.294163e-03 1.148331e+00 9.614162e-04 
8.560211e-02 7.786708e-02 8.762124e-02 1.264439e-03 1.246555e-03 1.229761e-03 1.208540e+00 9.614162e-04 
8.573943e-02 7.768438e-02 8.823706e-02 1.316388e-03 1.083689e-03 1.223827e-03 1.218131e+00 1.063898e-03 
8.425475e-02 7.791454e-02 8.664728e-02 1.028186e-03 1.087429e-03 1.259110e-03 1.169369e+00 1.012008e-03 
8.324832e-02 7.620283e-02 8.556508e-02 1.123411e-03 9.740750e-04 1.189722e-03 1.193462e+00 1.037791e-03 
8.669009e-02 7.867573e-02 8.820194e-02 1.325301e-03 9.833531e-04 1.246421e-03 1.214108e+00 9.865502e-04 
8.493075e-02 7.837401e-02 8.744121e-02 1.070748e-03 9.568743e-04 1.159481e-03 1.174318e+00 9.614162e-04 
8.441225e-02 7.633852e-02 8.702110e-02 1.297858e-03 1.133912e-03 1.225551e-03 1.222710e+00 1.090329e-03 
8.342471e-02 7.893665e-02 8.566552e-02 7.286884e-04 9.976321e-04 1.122635e-03 1.116946e+00 9.865502e-04 
8.401251e-02 7.851280e-02 8.705349e-02 8.938429e-04 1.114765e-03 1.264361e-03 1.145004e+00 1.037791e-03 
8.601687e-02 7.716812e-02 8.644097e-02 1.443984e-03 9.665636e-04 1.246430e-03 1.242486e+00 9.366065e-04 
8.496442e-02 7.798257e-02 8.637844e-02 1.137672e-03 1.028592e-03 1.226069e-03 1.187078e+00 1.012008e-03 
8.431009e-02 7.830157e-02 8.662656e-02 9.770560e-04 1.059797e-03 1.157077e-03 1.159360e+00 8.641232e-04 
8.422639e-02 7.679784e-02 8.656306e-02 1.196176e-03 1.056778e-03 1.308229e-03 1.202814e+00 1.012008e-03 
8.538032e-02 7.780721e-02 8.640259e-02 1.235837e-03 1.073155e-03 1.223152e-03 1.204137e+00 1.063898e-03 
8.176411e-02 7.599799e-02 8.493262e-02 9.096764e-04 1.125976e-03 1.369827e-03 1.157501e+00 1.063898e-03 
8.387426e-02 7.748947e-02 8.694336e-02 1.030274e-03 1.070479e-03 1.061535e-03 1.171580e+00 9.614162e-04 
8.555255e-02 7.873660e-02 8.558677e-02 1.119786e-03 1.123849e-03 1.223819e-03 1.180627e+00 1.037791e-03 
8.527780e-02 7.854602e-02 8.634949e-02 1.102825e-03 1.064278e-03 1.194445e-03 1.178755e+00 1.037791e-03 
8.565780e-02 7.897224e-02 8.789272e-02 1.100644e-03 1.038675e-03 1.210289e-03 1.176481e+00 1.037791e-03 
8.119151e-02 7.582054e-02 8.443800e-02 8.433080e-04 8.863154e-04 1.173671e-03 1.146694e+00 8.879600e-04 
8.535671e-02 7.720819e-02 8.558207e-02 1.324662e-03 1.212577e-03 1.361013e-03 1.222218e+00 1.063898e-03 
8.635932e-02 7.805514e-02 8.765730e-02 1.365328e-03 7.986767e-04 1.152767e-03 1.224096e+00 9.366065e-04 
8.334236e-02 7.604325e-02 8.512693e-02 1.163373e-03 1.183590e-03 1.172740e-03 1.201186e+00 1.012008e-03 
8.241103e-02 7.714410e-02 8.510917e-02 8.403651e-04 1.119535e-03 1.201118e-03 1.141209e+00 1.012008e-03 
8.449466e-02 7.909928e-02 8.754038e-02 8.826518e-04 1.109847e-03 1.280385e-03 1.141073e+00 1.012008e-03 
8.933944e-02 8.046132e-02 8.846934e-02 1.507511e-03 8.630263e-04 1.114870e-03 1.232855e+00 1.037791e-03 
8.420734e-02 7.775370e-02 8.619063e-02 1.045238e-03 1.124353e-03 1.226085e-03 1.172891e+00 1.037791e-03 
8.575224e-02 7.976460e-02 8.804628e-02 9.910565e-04 9.360109e-04 1.287971e-03 1.155768e+00 9.865502e-04 
8.628221e-02 7.947282e-02 8.780298e-02 1.128692e-03 1.156154e-03 1.258211e-03 1.178706e+00 1.037791e-03 
8.461129e-02 7.936240e-02 8.746694e-02 8.606806e-04 1.040663e-03 1.393731e-03 1.136651e+00 9.614162e-04 
8.294171e-02 7.515723e-02 8.426223e-02 1.230717e-03 9.792261e-04 1.262062e-03 1.217880e+00 9.865502e-04 
8.442281e-02 7.847303e-02 8.638332e-02 9.691955e-04 1.098276e-03 1.343053e-03 1.157388e+00 1.012008e-03 
8.447343e-02 7.873252e-02 8.638307e-02 9.369509e-04 1.033142e-03 1.142213e-03 1.151150e+00 9.121211e-04 
8.289359e-02 7.438775e-02 8.384785e-02 1.337810e-03 1.095456e-03 1.321690e-03 1.241764e+00 1.037791e-03 
8.391019e-02 7.955200e-02 8.606449e-02 7.123993e-04 1.070320e-03 1.315963e-03 1.112570e+00 1.012008e-03 
8.653148e-02 8.138159e-02 8.804392e-02 8.647341e-04 1.047760e-03 1.230061e-03 1.130566e+00 9.865502e-04 
8.319146e-02 7.601231e-02 8.476140e-02 1.142949e-03 1.095864e-03 1.172889e-03 1.197815e+00 1.037791e-03 
8.650474e-02 7.823254e-02 8.591620e-02 1.362739e-03 9.628356e-04 1.181754e-03 1.222658e+00 9.865502e-04 
7.990854e-02 7.470295e-02 8.383949e-02 8.048444e-04 8.847643e-04 1.157057e-03 1.144224e+00 8.879600e-04 
8.461389e-02 7.634479e-02 8.421581e-02 1.330983e-03 9.342263e-04 1.167978e-03 1.228357e+00 9.614162e-04 
8.588476e-02 7.858770e-02 8.651194e-02 1.200165e-03 1.047803e-03 1.166059e-03 1.194326e+00 1.090329e-03 
8.336541e-02 7.800124e-02 8.572974e-02 8.655989e-04 9.677221e-04 1.205130e-03 1.142270e+00 1.063898e-03 
8.479952e-02 7.970748e-02 8.757694e-02 8.376762e-04 9.977724e-04 1.209924e-03 1.131849e+00 9.614162e-04 
8.031783e-02 7.761649e-02 8.424536e-02 4.266339e-04 8.864166e-04 1.095231e-03 1.070819e+00 9.366065e-04 
8.483352e-02 7.758423e-02 8.612425e-02 1.177414e-03 1.030447e-03 1.355788e-03 1.195606e+00 9.614162e-04 
8.276555e-02 7.603485e-02 8.380263e-02 1.068837e-03 9.745340e-04 1.123019e-03 1.184878e+00 1.012008e-03 
8.493038e-02 7.693478e-02 8.705036e-02 1.294209e-03 1.220987e-03 1.342659e-03 1.218655e+00 1.012008e-03 
8.047649e-02 7.676184e-02 8.337437e-02 5.840846e-04 1.001909e-03 1.270309e-03 1.099125e+00 9.614162e-04 
8.865069e-02 7.951821e-02 8.903741e-02 1.535800e-03 1.129198e-03 1.241551e-03 1.242885e+00 1.063898e-03 
8.524236e-02 7.840680e-02 8.667709e-02 1.118634e-03 1.139255e-03 1.348395e-03 1.181962e+00 1.090329e-03 
8.456759e-02 7.894567e-02 8.596684e-02 9.192597e-04 1.093402e-03 1.250825e-03 1.147496e+00 9.614162e-04 
8.386945e-02 7.776934e-02 8.625269e-02 9.860157e-04 1.115645e-03 1.299617e-03 1.163030e+00 1.037791e-03 
8.458618e-02 7.695032e-02 8.609123e-02 1.233470e-03 9.643202e-04 1.252852e-03 1.208309e+00 9.865502e-04 
8.213921e-02 7.793396e-02 8.641860e-02 6.731467e-04 1.011984e-03 1.153117e-03 1.110830e+00 9.121211e-04 
8.443233e-02 7.853530e-02 8.568783e-02 9.610247e-04 1.104274e-03 1.203545e-03 1.155813e+00 9.865502e-04 
8.513459e-02 7.861203e-02 8.648891e-02 1.068048e-03 1.026305e-03 1.220813e-03 1.172827e+00 9.865502e-04 
8.081993e-02 7.525871e-02 8.436069e-02 8.679873e-04 1.026216e-03 1.246995e-03 1.153250e+00 9.865502e-04 
8.263009e-02 7.733808e-02 8.317371e-02 8.465534e-04 1.083362e-03 1.259334e-03 1.141536e+00 1.012008e-03 
8.504925e-02 8.035817e-02 8.633117e-02 7.759391e-04 1.038780e-03 1.264763e-03 1.120162e+00 9.614162e-04 
8.418307e-02 7.648954e-02 8.472016e-02 1.236139e-03 9.649748e-04 1.287029e-03 1.211282e+00 9.366065e-04 
8.484666e-02 7.855259e-02 8.738359e-02 1.028447e-03 1.112651e-03 1.273632e-03 1.166671e+00 9.865502e-04 
8.394545e-02 7.625299e-02 8.542260e-02 1.232320e-03 1.167804e-03 1.181653e-03 1.211939e+00 1.090329e-03 
8.472838e-02 7.906751e-02 8.651988e-02 9.272266e-04 9.921729e-04 1.090578e-03 1.148317e+00 9.865502e-04 
8.575679e-02 7.789099e-02 8.695020e-02 1.287221e-03 1.027268e-03 1.291040e-03 1.212167e+00 1.063898e-03 
8.757493e-02 7.991208e-02 9.065771e-02 1.283427e-03 1.051926e-03 1.185544e-03 1.200977e+00 9.366065e-04 
8.740934e-02 8.138729e-02 8.853498e-02 1.016502e-03 1.027183e-03 1.325632e-03 1.153460e+00 9.121211e-04 
8.537809e-02 7.888009e-02 8.643125e-02 1.067351e-03 9.168120e-04 1.235422e-03 1.171543e+00 9.865502e-04 
8.414558e-02 7.837450e-02 8.586117e-02 9.379171e-04 1.080574e-03 1.183785e-03 1.152692e+00 9.614162e-04 
8.582044e-02 7.733693e-02 8.776368e-02 1.384147e-03 9.360889e-04 1.165062e-03 1.231424e+00 9.366065e-04 
8.657007e-02 7.812028e-02 8.746085e-02 1.391598e-03 9.869698e-04 1.236382e-03 1.228027e+00 1.063898e-03 
8.492272e-02 7.726287e-02 8.704758e-02 1.242317e-03 1.123443e-03 1.280408e-03 1.208109e+00 1.012008e-03 
8.641906e-02 7.657088e-02 8.516393e-02 1.605155e-03 9.849433e-04 1.195843e-03 1.273773e+00 9.865502e-04 
8.210234e-02 7.593052e-02 8.452533e-02 9.753494e-04 1.191625e-03 1.334438e-03 1.169172e+00 1.037791e-03 
8.360923e-02 7.651304e-02 8.509495e-02 1.136258e-03 1.006524e-03 1.237948e-03 1.194091e+00 9.865502e-04 
8.248224e-02 7.672716e-02 8.515296e-02 9.162631e-04 1.108466e-03 1.246826e-03 1.155640e+00 1.063898e-03 
8.736302e-02 7.678693e-02 8.443855e-02 1.736064e-03 1.257180e-03 1.437826e-03 1.294436e+00 1.037791e-03 
8.167750e-02 7.516875e-02 8.261486e-02 1.020873e-03 1.073556e-03 1.353160e-03 1.180675e+00 1.063898e-03 
8.655001e-02 8.061674e-02 8.771165e-02 9.918462e-04 1.177397e-03 1.240872e-03 1.152614e+00 1.037791e-03 
8.809505e-02 7.900773e-02 8.766035e-02 1.518517e-03 9.811256e-04 1.092534e-03 1.243265e+00 1.063898e-03 
8.485706e-02 7.685254e-02 8.645912e-02 1.294408e-03 1.020655e-03 1.362682e-03 1.219157e+00 8.641232e-04 
8.288690e-02 7.664942e-02 8.559576e-02 9.951042e-04 1.079010e-03 1.140869e-03 1.169376e+00 9.614162e-04 
8.714226e-02 7.900881e-02 8.858843e-02 1.351382e-03 9.184128e-04 1.209031e-03 1.216485e+00 9.366065e-04 
8.652232e-02 8.082518e-02 8.750908e-02 9.534022e-04 1.050419e-03 1.181184e-03 1.145943e+00 1.037791e-03 
8.406499e-02 7.790000e-02 8.552249e-02 9.985122e-04 9.094920e-04 1.155024e-03 1.164543e+00 9.614162e-04 
8.469955e-02 7.828072e-02 8.680748e-02 1.046143e-03 1.055741e-03 1.321628e-03 1.170719e+00 9.614162e-04 
8.488449e-02 7.770649e-02 8.626153e-02 1.167078e-03 1.100073e-03 1.231954e-03 1.193279e+00 1.012008e-03 
8.358945e-02 7.631340e-02 8.577513e-02 1.163461e-03 9.509834e-04 1.293652e-03 1.199779e+00 9.614162e-04 
8.404842e-02 7.898015e-02 8.681807e-02 8.262732e-04 1.007354e-03 1.058483e-03 1.132461e+00 1.012008e-03 
8.617472e-02 7.790902e-02 8.707446e-02 1.356266e-03 1.184689e-03 1.386363e-03 1.223444e+00 1.117085e-03 
8.347905e-02 7.770490e-02 8.573223e-02 9.307002e-04 1.127180e-03 1.188880e-03 1.154139e+00 9.614162e-04 
