sigma_18, sigma_D, sigma_17, diff1, diff2, diff2_17O, divis
8.406120053265504766e-02 7.947351935886927399e-02 8.866238520941448209e-02 7.502451557066759300e-04 9.119011001867383635e-04 1.292218191334554029e-03 1.118784099298311796e+00
8.380336999337670290e-02 7.831880949671983505e-02 8.617316281854034421e-02 8.891689012632975758e-04 8.364839699529434376e-04 1.171057602919501521e-03 1.144961311766019563e+00
8.553853561941397732e-02 7.710383400989807845e-02 8.676488505344545632e-02 1.371839856887838160e-03 8.719254877910193394e-04 1.091568599245406777e-03 1.230755185128896034e+00
8.344519743595311956e-02 7.628103226184948515e-02 8.495631654130088306e-02 1.144305092191875636e-03 9.941047380222819540e-04 1.262887143735232998e-03 1.196656682106370440e+00
8.448343677353492565e-02 7.951261635819563411e-02 8.732004923540406804e-02 8.151949289422737860e-04 1.030111407842897045e-03 1.222523354881977203e-03 1.128940509257391200e+00
8.184912084459758375e-02 7.528519169241346121e-02 8.501737673633787129e-02 1.031418494870097249e-03 9.191673708863653787e-04 1.165895758942186783e-03 1.181976703522388483e+00
8.621741533913816757e-02 7.788062785107448260e-02 8.795453989187959620e-02 1.368050513283898886e-03 1.003434601387733329e-03 1.276889074477305201e-03 1.225550214960458240e+00
8.671110632917185257e-02 7.821381374750940862e-02 8.535882123512147923e-02 1.401415299898854487e-03 8.593692613846368265e-04 1.242459838319414332e-03 1.229086727774633347e+00
8.305991684630123495e-02 7.577219893809394868e-02 8.393085697314756066e-02 1.157523654600390098e-03 1.000321808904421506e-03 1.177957742901414957e-03 1.201609082483221513e+00
8.476809709487612143e-02 7.826821027908774375e-02 8.569608396833074127e-02 1.059717544794848941e-03 1.141526138387757763e-03 1.194198538276897061e-03 1.172989330687792764e+00
8.303103423328843380e-02 7.643501489289691864e-02 8.544345429249773638e-02 1.051841144172142514e-03 1.164200662145540438e-03 1.248262503674310575e-03 1.180038524797959010e+00
8.562357523497453327e-02 7.802234576517705356e-02 8.648801444343245937e-02 1.243910197318502664e-03 9.994562466726514011e-04 1.289137804537233154e-03 1.204338885982630725e+00
8.051943225614435762e-02 7.615984102498811470e-02 8.236779828360378530e-02 6.830575859003576791e-04 1.075101624928847133e-03 1.236490944241618950e-03 1.117762023958276396e+00
8.401003153592209727e-02 7.831810691385059087e-02 8.540832236455479787e-02 9.239595280972935643e-04 1.031575440524773847e-03 1.175134863879949334e-03 1.150635934437600039e+00
8.440021624066641748e-02 7.715584177151850465e-02 8.554517458219401682e-02 1.170372581999651850e-03 9.946736237496098601e-04 1.187004337922453658e-03 1.196601357197895510e+00
9.123130054624767338e-02 8.024166277847576134e-02 9.000435975221424134e-02 1.884425753905148715e-03 1.029623162317366272e-03 1.370510966319255864e-03 1.292670663245333751e+00
8.305958038135095867e-02 7.627451762173448335e-02 8.413209333836081660e-02 1.081091854697817031e-03 9.592597495628334180e-04 1.216052458935205178e-03 1.185824792173554298e+00
8.495659942921576779e-02 8.102559953203654353e-02 8.745649037242909929e-02 6.524760070502639425e-04 9.012341890972388418e-04 1.351777580981869354e-03 1.099384816452277480e+00
8.321726879544577571e-02 7.581012326598698947e-02 8.525505080640340128e-02 1.177939036169331662e-03 1.028873258138535314e-03 1.277824234559711601e-03 1.204959667887613772e+00
8.248825951154163671e-02 7.725283925024482856e-02 8.585516636799307710e-02 8.363117850192719818e-04 1.009482500936286723e-03 1.303208805102127471e-03 1.140132644227948910e+00
8.490654397895579242e-02 7.926883273664467322e-02 8.782487806179173351e-02 9.255733670202040062e-04 1.033174742508297019e-03 1.100101165396047366e-03 1.147301077366340127e+00
8.230553890584418886e-02 7.628664295240414339e-02 8.497713132903030042e-02 9.545498416338388595e-04 1.085371376727864738e-03 1.248907592411072727e-03 1.164021810787443822e+00
8.643601496625212544e-02 7.820094644333101808e-02 8.730067835908750240e-02 1.355796658613434881e-03 1.026351669899380108e-03 1.119401238134587256e-03 1.221702474667559768e+00
8.497826182980533494e-02 7.930018814173915576e-02 8.661207808538605446e-02 9.327851442997225559e-04 1.174622736368903519e-03 1.294162553886771911e-03 1.148331430628243943e+00
8.560211125867987769e-02 7.786708220279618675e-02 8.762124022632421239e-02 1.264438961166390075e-03 1.246555318756989439e-03 1.229760841100437660e-03 1.208540334891167189e+00
8.573943488711775751e-02 7.768438043982874019e-02 8.823706133714280531e-02 1.316387730442260089e-03 1.083689261014704084e-03 1.223827156640425271e-03 1.218130509048034105e+00
8.425474615396807976e-02 7.791454235891849545e-02 8.664727679764194779e-02 1.028186338469893983e-03 1.087428749525267682e-03 1.259110327336423725e-03 1.169369334410832462e+00
8.324832003562863958e-02 7.620283358241262961e-02 8.556508421996428249e-02 1.123410942765573975e-03 9.740750035049737911e-04 1.189722493209411074e-03 1.193462327490760311e+00
8.669008838077854606e-02 7.867572914942634610e-02 8.820193559060843236e-02 1.325301066273301166e-03 9.833531390951440014e-04 1.246421435233530583e-03 1.214108049085879548e+00
8.493075047567864855e-02 7.837400530767091311e-02 8.744121217789067868e-02 1.070747668395160765e-03 9.568742784516096707e-04 1.159481256270321120e-03 1.174318328706035919e+00
8.441224806231266420e-02 7.633851990740536664e-02 8.702109802999481725e-02 1.297858001280082635e-03 1.133912271924192522e-03 1.225551020755427829e-03 1.222709994996485472e+00
8.342471232337932141e-02 7.893664671420792811e-02 8.566551712257768070e-02 7.286884317549242526e-04 9.976321017183865675e-04 1.122634980562901450e-03 1.116945772859174735e+00
8.401251176799559572e-02 7.851279649416280371e-02 8.705349031247403002e-02 8.938429202337760601e-04 1.114764924102254213e-03 1.264360910185555360e-03 1.145004109869409037e+00
8.601687493362433767e-02 7.716811773074599978e-02 8.644096779442883571e-02 1.443984379240495497e-03 9.665635831866747690e-04 1.246429683848804043e-03 1.242486006301890100e+00
8.496441963923720420e-02 7.798256568598913030e-02 8.637843513405081552e-02 1.137672053662787917e-03 1.028591718079971927e-03 1.226069190771337299e-03 1.187077712354743353e+00
8.431009364620488389e-02 7.830157027357451116e-02 8.662656469041560281e-02 9.770559833243092421e-04 1.059797119209918105e-03 1.157076613409988106e-03 1.159359700730134390e+00
8.422638571583995759e-02 7.679784071678107116e-02 8.656305720766707679e-02 1.196175711993372956e-03 1.056778241699313529e-03 1.308228688355827455e-03 1.202813547326990973e+00
