WH temperatures [deg C] from synthetic data. 
  T_18,    T_D,   T_17,  T_diff1_18D, T_diff2_18D, T_diff3_18D, T_diff1_17D, T_diff2_17D, T_division_18D, T_division_17D 
-2.910597e+01 -2.854034e+01 -2.793985e+01 -3.390051e+01 -3.076506e+01 -3.119822e+01 -2.454473e+01 -2.752043e+01 -5.270623e+00 -4.668467e+01 
-2.919039e+01 -2.893677e+01 -2.873480e+01 -3.117611e+01 -3.216437e+01 -3.032822e+01 -2.752349e+01 -2.912752e+01 -1.930461e+01 -3.552176e+01 
-2.862204e+01 -2.935952e+01 -2.854411e+01 -2.391979e+01 -3.149395e+01 -2.905398e+01 -2.414260e+01 -3.026376e+01 -5.182324e+01 -5.294203e+01 
-2.931040e+01 -2.964892e+01 -2.912985e+01 -2.700519e+01 -2.934575e+01 -2.989945e+01 -2.621122e+01 -2.789710e+01 -4.079109e+01 -4.545560e+01 
-2.896716e+01 -2.852700e+01 -2.836619e+01 -3.257868e+01 -2.875895e+01 -3.032822e+01 -2.738971e+01 -2.841923e+01 -1.102740e+01 -3.382429e+01 
-2.984505e+01 -3.000271e+01 -2.911005e+01 -2.873764e+01 -3.063553e+01 -3.076113e+01 -2.437976e+01 -2.919856e+01 -3.538493e+01 -5.536627e+01 
-2.840184e+01 -2.908841e+01 -2.816400e+01 -2.396743e+01 -2.919370e+01 -2.946887e+01 -2.323349e+01 -2.771635e+01 -5.024709e+01 -5.536524e+01 
-2.824262e+01 -2.897318e+01 -2.900000e+01 -2.355188e+01 -3.172878e+01 -2.905398e+01 -2.915959e+01 -2.816396e+01 -5.130792e+01 -2.809069e+01 
-2.943867e+01 -2.982921e+01 -2.946752e+01 -2.681185e+01 -2.924443e+01 -2.863379e+01 -2.738429e+01 -2.903256e+01 -4.253163e+01 -4.118142e+01 
-2.887319e+01 -2.895432e+01 -2.888894e+01 -2.827644e+01 -2.704609e+01 -2.863379e+01 -2.848278e+01 -2.880904e+01 -3.177383e+01 -3.113491e+01 
-2.944831e+01 -2.959457e+01 -2.897145e+01 -2.840481e+01 -2.671490e+01 -2.822430e+01 -2.551665e+01 -2.808776e+01 -3.461238e+01 -4.822755e+01 
-2.859438e+01 -2.903946e+01 -2.863320e+01 -2.559215e+01 -2.925854e+01 -2.905398e+01 -2.628373e+01 -2.755963e+01 -4.342631e+01 -4.174163e+01 
-3.029714e+01 -2.969177e+01 -2.998806e+01 -3.539448e+01 -2.804976e+01 -3.076113e+01 -3.191914e+01 -2.824266e+01 -4.723015e+00 -1.897831e+01 
-2.912274e+01 -2.893701e+01 -2.898290e+01 -3.055060e+01 -2.873509e+01 -2.822430e+01 -2.926794e+01 -2.907141e+01 -2.201596e+01 -2.736602e+01 
-2.899458e+01 -2.934132e+01 -2.893825e+01 -2.662569e+01 -2.933648e+01 -2.905398e+01 -2.661731e+01 -2.890806e+01 -4.075589e+01 -4.192336e+01 
-2.681827e+01 -2.827921e+01 -2.751892e+01 -1.832864e+01 -2.876691e+01 -2.781506e+01 -2.332048e+01 -2.655000e+01 -6.771237e+01 -5.062218e+01 
-2.943878e+01 -2.965122e+01 -2.940110e+01 -2.795710e+01 -2.993634e+01 -2.946887e+01 -2.792931e+01 -2.850829e+01 -3.683290e+01 -3.768665e+01 
-2.881079e+01 -2.801485e+01 -2.832261e+01 -3.611294e+01 -3.095683e+01 -3.253490e+01 -3.038322e+01 -2.677778e+01 7.115602e+00 -1.674016e+01 
-2.938622e+01 -2.981574e+01 -2.903282e+01 -2.651689e+01 -2.877913e+01 -3.032822e+01 -2.480629e+01 -2.770434e+01 -4.367593e+01 -5.252800e+01 
-2.962991e+01 -2.930739e+01 -2.883685e+01 -3.216769e+01 -2.909513e+01 -3.032822e+01 -2.615987e+01 -2.738119e+01 -1.693174e+01 -4.378824e+01 
-2.882738e+01 -2.861028e+01 -2.820522e+01 -3.052207e+01 -2.870902e+01 -2.989945e+01 -2.584767e+01 -3.013844e+01 -2.041933e+01 -4.130872e+01 
-2.969127e+01 -2.964694e+01 -2.912311e+01 -3.001714e+01 -2.789117e+01 -2.863379e+01 -2.617940e+01 -2.807931e+01 -2.805987e+01 -4.558630e+01 
-2.833125e+01 -2.897764e+01 -2.837238e+01 -2.411113e+01 -2.882021e+01 -2.863379e+01 -2.497586e+01 -2.985807e+01 -4.905971e+01 -4.720416e+01 
-2.880361e+01 -2.859956e+01 -2.859325e+01 -3.039515e+01 -2.656451e+01 -2.989945e+01 -2.854847e+01 -2.749571e+01 -2.091099e+01 -2.881441e+01 
-2.860136e+01 -2.909309e+01 -2.827006e+01 -2.531265e+01 -2.555593e+01 -2.989945e+01 -2.381491e+01 -2.831962e+01 -4.484052e+01 -5.290833e+01 
-2.855673e+01 -2.915605e+01 -2.807436e+01 -2.462135e+01 -2.791706e+01 -2.822430e+01 -2.243462e+01 -2.840129e+01 -4.795027e+01 -5.909015e+01 
-2.904243e+01 -2.907671e+01 -2.858192e+01 -2.879030e+01 -2.785954e+01 -2.905398e+01 -2.576137e+01 -2.794616e+01 -3.029147e+01 -4.428583e+01 
-2.937588e+01 -2.967657e+01 -2.893175e+01 -2.731472e+01 -2.967218e+01 -2.863379e+01 -2.488114e+01 -2.887066e+01 -3.965031e+01 -5.144626e+01 
-2.824938e+01 -2.881262e+01 -2.808549e+01 -2.450491e+01 -2.952097e+01 -2.946887e+01 -2.407284e+01 -2.811192e+01 -4.664969e+01 -5.027670e+01 
-2.881936e+01 -2.891760e+01 -2.832748e+01 -2.811742e+01 -2.997722e+01 -2.989945e+01 -2.500428e+01 -2.928685e+01 -3.231021e+01 -4.675058e+01 
-2.899062e+01 -2.962862e+01 -2.846188e+01 -2.486539e+01 -2.715855e+01 -2.781506e+01 -2.249137e+01 -2.837756e+01 -4.940358e+01 -6.135551e+01 
