Depth	Density	sigma_D	sigma_o18	sigma_o17
0.00	350.000	0.000000	0.000000	0.000000
0.50	357.344	0.022888	0.024734	0.025021
1.00	364.744	0.031855	0.034424	0.034824
1.50	372.194	0.038398	0.041495	0.041977
2.00	379.693	0.043642	0.047162	0.047710
2.50	387.235	0.048031	0.051904	0.052507
3.00	394.816	0.051796	0.055974	0.056624
3.50	402.433	0.055080	0.059522	0.060214
4.00	410.082	0.057975	0.062651	0.063379
4.50	417.759	0.060548	0.065431	0.066191
5.00	425.458	0.062847	0.067916	0.068705
5.50	433.176	0.064911	0.070146	0.070961
6.00	440.908	0.066769	0.072154	0.072992
6.50	448.651	0.068445	0.073965	0.074824
7.00	456.399	0.069959	0.075601	0.076479
7.50	464.149	0.071328	0.077081	0.077976
8.00	471.895	0.072566	0.078418	0.079329
8.50	479.633	0.073684	0.079627	0.080552
9.00	487.360	0.074695	0.080719	0.081657
9.50	495.070	0.075606	0.081703	0.082652
10.00	502.759	0.076425	0.082589	0.083548
10.50	510.423	0.077161	0.083384	0.084352
11.00	518.058	0.077818	0.084095	0.085071
11.50	525.660	0.078404	0.084728	0.085712
12.00	533.223	0.078923	0.085289	0.086279
12.50	540.746	0.079380	0.085783	0.086779
13.00	548.223	0.079780	0.086214	0.087216
13.50	552.593	0.080550	0.087047	0.088058
14.00	555.989	0.081437	0.088005	0.089027
14.50	559.373	0.082281	0.088917	0.089950
15.00	562.746	0.083084	0.089785	0.090828
15.50	566.108	0.083849	0.090611	0.091664
16.00	569.457	0.084576	0.091397	0.092459
16.50	572.794	0.085268	0.092145	0.093215
17.00	576.117	0.085926	0.092856	0.093934
17.50	579.428	0.086552	0.093532	0.094619
18.00	582.725	0.087147	0.094175	0.095269
18.50	586.008	0.087712	0.094787	0.095887
19.00	589.277	0.088249	0.095367	0.096475
19.50	592.532	0.088760	0.095919	0.097033
20.00	595.772	0.089244	0.096442	0.097562
20.50	598.997	0.089703	0.096938	0.098064
21.00	602.207	0.090138	0.097408	0.098540
21.50	605.401	0.090551	0.097854	0.098990
22.00	608.579	0.090941	0.098275	0.099417
22.50	611.742	0.091309	0.098674	0.099820
23.00	614.888	0.091657	0.099050	0.100200
23.50	618.017	0.091986	0.099405	0.100559
24.00	621.130	0.092295	0.099739	0.100898
24.50	624.225	0.092586	0.100054	0.101216
25.00	627.304	0.092859	0.100349	0.101514
25.50	630.365	0.093116	0.100626	0.101794
26.00	633.408	0.093355	0.100885	0.102056
26.50	636.433	0.093579	0.101127	0.102301
27.00	639.440	0.093788	0.101352	0.102529
27.50	642.428	0.093981	0.101561	0.102741
28.00	645.399	0.094161	0.101755	0.102937
28.50	648.350	0.094326	0.101934	0.103118
29.00	651.283	0.094478	0.102099	0.103284
29.50	654.196	0.094618	0.102249	0.103437
30.00	657.091	0.094745	0.102386	0.103576
30.50	659.966	0.094860	0.102511	0.103701
31.00	662.821	0.094963	0.102622	0.103814
31.50	665.657	0.095055	0.102722	0.103915
32.00	668.473	0.095136	0.102810	0.104004
32.50	671.269	0.095207	0.102886	0.104081
33.00	674.045	0.095268	0.102952	0.104147
33.50	676.801	0.095319	0.103007	0.104203
34.00	679.537	0.095360	0.103051	0.104248
34.50	682.253	0.095393	0.103086	0.104284
35.00	684.948	0.095416	0.103112	0.104309
35.50	687.622	0.095431	0.103128	0.104326
36.00	690.276	0.095438	0.103135	0.104333
36.50	692.909	0.095437	0.103134	0.104332
37.00	695.521	0.095428	0.103125	0.104323
37.50	698.113	0.095412	0.103107	0.104305
38.00	700.684	0.095389	0.103082	0.104279
38.50	703.233	0.095358	0.103049	0.104246
39.00	705.762	0.095321	0.103010	0.104206
39.50	708.270	0.095278	0.102963	0.104159
40.00	710.756	0.095229	0.102909	0.104105
40.50	713.222	0.095173	0.102849	0.104044
41.00	715.666	0.095112	0.102783	0.103977
41.50	718.089	0.095045	0.102711	0.103904
42.00	720.491	0.094973	0.102633	0.103825
42.50	722.872	0.094896	0.102550	0.103741
43.00	725.232	0.094814	0.102461	0.103651
43.50	727.570	0.094727	0.102367	0.103556
44.00	729.888	0.094635	0.102268	0.103456
44.50	732.184	0.094540	0.102165	0.103351
45.00	734.459	0.094439	0.102056	0.103242
45.50	736.713	0.094335	0.101944	0.103128
46.00	738.946	0.094227	0.101827	0.103010
46.50	741.158	0.094115	0.101706	0.102888
47.00	743.349	0.094000	0.101582	0.102761
47.50	745.519	0.093881	0.101453	0.102631
48.00	747.668	0.093759	0.101321	0.102498
48.50	749.796	0.093634	0.101186	0.102361
49.00	751.903	0.093506	0.101047	0.102221
49.50	753.989	0.093374	0.100906	0.102077
50.00	756.055	0.093241	0.100761	0.101931
50.50	758.100	0.093104	0.100613	0.101782
51.00	760.125	0.092965	0.100463	0.101630
51.50	762.128	0.092824	0.100310	0.101475
52.00	764.112	0.092680	0.100155	0.101319
52.50	766.075	0.092534	0.099998	0.101159
53.00	768.018	0.092387	0.099838	0.100998
53.50	769.940	0.092237	0.099676	0.100834
54.00	771.843	0.092086	0.099513	0.100668
54.50	773.725	0.091932	0.099347	0.100501
55.00	775.588	0.091778	0.099180	0.100332
55.50	777.431	0.091621	0.099011	0.100161
56.00	779.253	0.091464	0.098841	0.099989
56.50	781.057	0.091305	0.098669	0.099815
57.00	782.840	0.091144	0.098496	0.099639
57.50	784.605	0.090983	0.098321	0.099463
58.00	786.350	0.090820	0.098146	0.099285
58.50	788.075	0.090657	0.097969	0.099107
59.00	789.782	0.090493	0.097791	0.098927
59.50	791.470	0.090328	0.097613	0.098747
60.00	793.138	0.090162	0.097433	0.098565
60.50	794.788	0.089995	0.097253	0.098383
61.00	796.420	0.089828	0.097073	0.098200
61.50	798.033	0.089660	0.096892	0.098017
62.00	799.627	0.089492	0.096710	0.097833
62.50	801.203	0.089323	0.096528	0.097649
63.00	802.761	0.089154	0.096345	0.097464
63.50	804.301	0.088985	0.096162	0.097279
64.00	805.824	0.088817	0.095981	0.097095
64.50	807.328	0.088652	0.095802	0.096914
65.00	808.815	0.088489	0.095626	0.096736
65.50	810.284	0.088328	0.095452	0.096561
66.00	811.736	0.088170	0.095282	0.096388
66.50	813.171	0.088015	0.095113	0.096218
67.00	814.588	0.087862	0.094948	0.096051
67.50	815.989	0.087711	0.094785	0.095886
68.00	817.373	0.087562	0.094624	0.095724
68.50	818.740	0.087416	0.094466	0.095564
69.00	820.090	0.087272	0.094311	0.095406
69.50	821.425	0.087130	0.094158	0.095251
70.00	822.743	0.086991	0.094007	0.095099
70.50	824.045	0.086853	0.093858	0.094948
71.00	825.330	0.086718	0.093712	0.094801
71.50	826.600	0.086585	0.093568	0.094655
72.00	827.855	0.086454	0.093426	0.094511
72.50	829.094	0.086324	0.093287	0.094370
73.00	830.317	0.086197	0.093149	0.094231
73.50	831.525	0.086072	0.093014	0.094094
74.00	832.718	0.085949	0.092881	0.093960
74.50	833.896	0.085827	0.092750	0.093827
75.00	835.059	0.085708	0.092620	0.093696
75.50	836.208	0.085590	0.092493	0.093567
76.00	837.342	0.085474	0.092368	0.093441
76.50	838.461	0.085360	0.092245	0.093316
77.00	839.566	0.085248	0.092123	0.093193
77.50	840.657	0.085137	0.092004	0.093072
78.00	841.734	0.085028	0.091886	0.092953
78.50	842.798	0.084921	0.091770	0.092836
