f_18, P_18, P_fit, P_estimated, P_input, P_noise,
0.000000000000000000e+00 3.247350273557137457e-01 3.536325935082324512e-01 3.534940893531077766e-01 3.247350273557137457e-01 1.385041551246537508e-04
4.988863130142279223e-02 3.243944506369846326e-01 3.533844175641731034e-01 3.532459138802696574e-01 3.245099664388799154e-01 1.385036839034454569e-04
9.977726260284558446e-02 3.236436890421799384e-01 3.526409346532171085e-01 3.525024323829291095e-01 3.238357191405956681e-01 1.385022702879958251e-04
1.496658939042683767e-01 3.232263887710928318e-01 3.514052722098785497e-01 3.512667722954557203e-01 3.227150853402536712e-01 1.384999144228210631e-04
1.995545252056911689e-01 3.241883912201369844e-01 3.496826182664438676e-01 3.495441216498951231e-01 3.211527099754057368e-01 1.384966165487492532e-04
2.494431565071139612e-01 3.276842063599932353e-01 3.474801851659867769e-01 3.473416927889839134e-01 3.191550509684899506e-01 1.384923770028724846e-04
2.993317878085367534e-01 3.348135625433097950e-01 3.448071592590764567e-01 3.446686720628579503e-01 3.167303347592099194e-01 1.384871962184787658e-04
3.492204191099596011e-01 3.464749350552964180e-01 3.416746370751284623e-01 3.415361560004034902e-01 3.138884998710333440e-01 1.384810747249660197e-04
3.991090504113823378e-01 3.631540973730040811e-01 3.380955485889808321e-01 3.379570745758330719e-01 3.106411290535311398e-01 1.384740131477355072e-04
4.489976817128051301e-01 3.845173495079933779e-01 3.340845683251545961e-01 3.339461023129465245e-01 3.070013706488491922e-01 1.384660122080673601e-04
4.988863130142279223e-01 4.086972146999959810e-01 3.296580151549083904e-01 3.295195580821854153e-01 3.029838499292172860e-01 1.384570727229757594e-04
5.487749443156507700e-01 4.313975210519709336e-01 3.248337417432718977e-01 3.246952945476668240e-01 2.986045712418960996e-01 1.384471956050463317e-04
5.986635756170735068e-01 4.456259299683063557e-01 3.196310146935768537e-01 3.194925783117146256e-01 2.938808118773206246e-01 1.384363818622534343e-04
6.485522069184963545e-01 4.436058088692920176e-01 3.140703865145859641e-01 3.139319618819881863e-01 2.888310086445534663e-01 1.384246325977590353e-04
6.984408382199192022e-01 4.212693795602639457e-01 3.081735605993404792e-01 3.080351486503307701e-01 2.834746381947915173e-01 1.384119490096932174e-04
7.483294695213419390e-01 3.818200073875618328e-01 3.019632504546967966e-01 3.018248521223058645e-01 2.778320921780492725e-01 1.383983323909142977e-04
7.982181008227646757e-01 3.339725519526965947e-01 2.954630344557849786e-01 2.953246506716562525e-01 2.719245483498992089e-01 1.383837841287527664e-04
8.481067321241875234e-01 2.865996843424061802e-01 2.886972074201136218e-01 2.885588391144088827e-01 2.657738387641027655e-01 1.383683057047338939e-04
8.979953634256102601e-01 2.451902197432531405e-01 2.816906303017603364e-01 2.815522784030660697e-01 2.594023161931122146e-01 1.383518986942842369e-04
9.478839947270329969e-01 2.117308511259088921e-01 2.744685792972599847e-01 2.743302447324935667e-01 2.528327199119264068e-01 1.383345647664182231e-04
9.977726260284558446e-01 1.861113255553693835e-01 2.670565956318278755e-01 2.669182793261444808e-01 2.460880419619938531e-01 1.383163056834071166e-04
1.047661257329878692e+00 1.673969828012585592e-01 2.594803372580493650e-01 2.593420401347489301e-01 2.391913949812613516e-01 1.382971233004300137e-04
1.097549888631301540e+00 1.545446065670516289e-01 2.517654336498927892e-01 2.516271566303275864e-01 2.321658826447319524e-01 1.382770195652063524e-04
1.147438519932724388e+00 1.467052140909381186e-01 2.439373448137991951e-01 2.437990888172815729e-01 2.250344737077950574e-01 1.382559965176109122e-04
1.197327151234147014e+00 1.433158908569995282e-01 2.360212255667362702e-01 2.358829915104470043e-01 2.178198805830472984e-01 1.382340562892711143e-04
1.247215782535569861e+00 1.441036910194219423e-01 2.280417960496728402e-01 2.279035848485697069e-01 2.105444433113363989e-01 1.382112011031468664e-04
1.297104413836992709e+00 1.490508123756270342e-01 2.200232193552164317e-01 2.198850319219433358e-01 2.032300197104463246e-01 1.381874332730923004e-04
1.346993045138415557e+00 1.583165295179508880e-01 2.119889870515335450e-01 2.118508242963301480e-01 1.958978824013526132e-01 1.381627552034015468e-04
1.396881676439838404e+00 1.720596761800533558e-01 2.039618132825553320e-01 2.038236761131669850e-01 1.885686233235451814e-01 1.381371693883362388e-04
1.446770307741261030e+00 1.900456979770707433e-01 1.959635380183058773e-01 1.958254273398942480e-01 1.812620662587749731e-01 1.381106784116367810e-04
1.496658939042683878e+00 2.109058489807282555e-01 1.880150399204405243e-01 1.878769566354945020e-01 1.739971877879880890e-01 1.380832849460169763e-04
1.546547570344106726e+00 2.311673894467740631e-01 1.801361591781776017e-01 1.799981041864249509e-01 1.667920470104143627e-01 1.380549917526413854e-04
1.596436201645529351e+00 2.450216662678612878e-01 1.723456305601567817e-01 1.722076047584761849e-01 1.596637242579834748e-01 1.380258016805877258e-04
1.646324832946952199e+00 2.465509552836855911e-01 1.646610268197079840e-01 1.645230311020416947e-01 1.526282689436268825e-01 1.379957176662915432e-04
1.696213464248375047e+00 2.340054448478486870e-01 1.570987124858366502e-01 1.569607477431036735e-01 1.457006565896986350e-01 1.379647427329763819e-04
1.746102095549797673e+00 2.115041557325838817e-01 1.496738079711029956e-01 1.495358750911129353e-01 1.388947549937322445e-01 1.379328799900673400e-04
1.795990726851220520e+00 1.857178650630968153e-01 1.424001638315749163e-01 1.422622636989423206e-01 1.322232994040083431e-01 1.379001326325894454e-04
1.845879358152643368e+00 1.617888126683678374e-01 1.352903449241236178e-01 1.351524784201830753e-01 1.256978764977733642e-01 1.378665039405507992e-04
1.895767989454065994e+00 1.421315775630061506e-01 1.283556241233357320e-01 1.282177921260574116e-01 1.193289168811642181e-01 1.378319972783108381e-04
1.945656620755488841e+00 1.272533750277732023e-01 1.216059851849454754e-01 1.214681885688515400e-01 1.131256957625944859e-01 1.377966160939332011e-04
1.995545252056911689e+00 1.168037995795908612e-01 1.150501342754992468e-01 1.149123739115807258e-01 1.070963413910470813e-01 1.377603639185246104e-04
2.045433883358334537e+00 1.102020835236656726e-01 1.086955196293787063e-01 1.085577963850131444e-01 1.012478507977930264e-01 1.377232443655593047e-04
2.095322514659757385e+00 1.068856734606744852e-01 1.025483587446144873e-01 1.024106734834843019e-01 9.558611233478656044e-02 1.376852611301890262e-04
2.145211145961180232e+00 1.063325209811594313e-01 9.661367248826793763e-02 9.647602607027939980e-02 9.011593446553728404e-02 1.376464179885395357e-04
2.195099777262603080e+00 1.079388832981316715e-01 9.089532545055629964e-02 9.075771873175930704e-02 8.484108023466001292e-02 1.376067187969933316e-04
2.244988408564025928e+00 1.107784024782618448e-01 8.539607186425113294e-02 8.525850569675967605e-02 7.976430682050197896e-02 1.375661674914594400e-04
2.294877039865448776e+00 1.133112927572407502e-01 8.011760639195612821e-02 7.998008162386949227e-02 7.488740956106931801e-02 1.375247680866293807e-04
2.344765671166871179e+00 1.133295246197265072e-01 7.506061907834743474e-02 7.492313655367222047e-02 7.021126983666318988e-02 1.374825246752207463e-04
2.394654302468294027e+00 1.086580203670234612e-01 7.022485376691119108e-02 7.008741432548398764e-02 6.573590619284859493e-02 1.374394414272085848e-04
2.444542933769716875e+00 9.861943445412624243e-02 6.560916929063047298e-02 6.547177376804143301e-02 6.146052809419669249e-02 1.373955225890438245e-04
2.494431565071139723e+00 8.484736206122592272e-02 6.121160276288032526e-02 6.107425199039746844e-02 5.738359171218192917e-02 1.373507724828601539e-04
2.544320196372562570e+00 7.019147598792946363e-02 5.702943431784893852e-02 5.689212912234326708e-02 5.350285716914543466e-02 1.373051955056689736e-04
2.594208827673985418e+00 5.693070751088433884e-02 5.305925267843526749e-02 5.292199388230672125e-02 4.981544668378310586e-02 1.372587961285430742e-04
2.644097458975407822e+00 4.606497121112664017e-02 4.929702096306417397e-02 4.915980938416838336e-02 4.631790309156585267e-02 1.372115788957889557e-04
2.693986090276831113e+00 3.764540519336669749e-02 4.573814218048243702e-02 4.560097863205832963e-02 4.300624824523632816e-02 1.371635484241084143e-04
2.743874721578253517e+00 3.130669642488510818e-02 4.237752390260943886e-02 4.224040919320769250e-02 3.987604083540723099e-02 1.371147094017496123e-04
2.793763352879676809e+00 2.660125847998130039e-02 3.920964164918538247e-02 3.907257658259773170e-02 3.692243320867920342e-02 1.370650665876474677e-04
2.843651984181099213e+00 2.313644356587662987e-02 3.622860056357064817e-02 3.609158593876009291e-02 3.414022679998388043e-02 1.370146248105547483e-04
2.893540615482522060e+00 2.060733310559315079e-02 3.342819500590070436e-02 3.329123161693254423e-02 3.152392583641982354e-02 1.369633889681625392e-04
2.943429246783944464e+00 1.878928497452606039e-02 3.080196573724531053e-02 3.066505437321909860e-02 2.906778901112718264e-02 1.369113640262121460e-04
2.993317878085367756e+00 1.751981975421647991e-02 2.834325441582400892e-02 2.820639586080641095e-02 2.676587886717200424e-02 1.368585550175974836e-04
3.043206509386790160e+00 1.668035293914024719e-02 2.604525517313287589e-02 2.590845020609141777e-02 2.461210867249486942e-02 1.368049670414586293e-04
3.093095140688213451e+00 1.618017232059242375e-02 2.390106308351020933e-02 2.376431247824794396e-02 2.260028660724100816e-02 1.367506052622667828e-04
3.142983771989635855e+00 1.594224565276029446e-02 2.190371938475078537e-02 2.176702390984188232e-02 2.072415712382108186e-02 1.366954749089015566e-04
3.192872403291058703e+00 1.589005325913061401e-02 2.004625334946096363e-02 1.990961376818724260e-02 1.897743937747693385e-02 1.366395812737197541e-04
3.242761034592481995e+00 1.593582373703013311e-02 1.832172074658276403e-02 1.818513781687114764e-02 1.735386266063124530e-02 1.365829297116166133e-04
3.292649665893904398e+00 1.597327619962348941e-02 1.672323886961539843e-02 1.658671334397631911e-02 1.584719880761046792e-02 1.365255256390803288e-04
3.342538297195327246e+00 1.588135737932344985e-02 1.524401814230075952e-02 1.510755076776752054e-02 1.445129156723375628e-02 1.364673745332389831e-04
3.392426928496750094e+00 1.554559584876061967e-02 1.387739034374307033e-02 1.374098186181216957e-02 1.316008296908947536e-02 1.364084819309007845e-04
3.442315559798172941e+00 1.489452013193152610e-02 1.261683352298463047e-02 1.248048466955704178e-02 1.196763673495124594e-02 1.363488534275885029e-04
3.492204191099595345e+00 1.393162176031528462e-02 1.145599369789929850e-02 1.131970520322273140e-02 1.086815880965163322e-02 1.362884946765673751e-04
3.542092822401018637e+00 1.273698807034482315e-02 1.038870345487597976e-02 1.025247604348811237e-02 9.856015105797541823e-03 1.362274113878671536e-04
3.591981453702441041e+00 1.143319661417794252e-02 9.408997584174566900e-03 9.272831974847267622e-03 8.925746573988395036e-03 1.361656093272992508e-04
3.641870085003864332e+00 1.013899129155807280e-02 8.511125901118443346e-03 8.375022806802976186e-03 8.072081724732378324e-03 1.361030943154680004e-04
3.691758716305286736e+00 8.938528387662021679e-03 7.689563415545040172e-03 7.553523543318262264e-03 7.289946740124149741e-03 1.360398722267781250e-04
3.741647347606709584e+00 7.874540542315474831e-03 6.939018021302737274e-03 6.803042072314300845e-03 6.574473322654130793e-03 1.359759489884362937e-04
3.791535978908131987e+00 6.956826874164400744e-03 6.254435884224245935e-03 6.118524553644795992e-03 5.921004435396401769e-03 1.359113305794495909e-04
3.841424610209555279e+00 6.174832455022668740e-03 5.631004711101350764e-03 5.495158688071730656e-03 5.325098092416483651e-03 1.358460230296198914e-04
3.891313241510977683e+00 5.508095811179002620e-03 5.064155083935616142e-03 4.928375051517082731e-03 4.782529360717963952e-03 1.357800324185337636e-04
3.941201872812400975e+00 4.933112308938559544e-03 4.549560043352793813e-03 4.413846678478243121e-03 4.289290735584911848e-03 1.357133648745503937e-04
3.991090504113823378e+00 4.427367930798076397e-03 4.083133102764782002e-03 3.947487076190996612e-03 3.841591049960205780e-03 1.356460265737853359e-04
4.040979135415246226e+00 3.971687663949543569e-03 3.661024870861439087e-03 3.525446847122346884e-03 3.435853075717443597e-03 1.355780237390922030e-04
4.090867766716669074e+00 3.551665239641391657e-03 3.279618454539656117e-03 3.144109091900614255e-03 3.068709970528760416e-03 1.355093626390417268e-04
4.140756398018091922e+00 3.158404576889037481e-03 2.935523807644835337e-03 2.800083758057936387e-03 2.737000718690357944e-03 1.354400495868987326e-04
4.190645029319514769e+00 2.788432030946387790e-03 2.625571183123606277e-03 2.490201092184008737e-03 2.437764707929242821e-03 1.353700909395973780e-04
4.240533660620937617e+00 2.442626247498976867e-03 2.346803837569915070e-03 2.211504344473200386e-03 2.168235577057190354e-03 1.352994930967145221e-04
4.290422291922360465e+00 2.124350525945322993e-03 2.096470127882149332e-03 1.961241865382706753e-03 1.925834461532757291e-03 1.352282624994426607e-04
4.340310923223783313e+00 1.837372470091338562e-03 1.872015130017844024e-03 1.736858724388283277e-03 1.708162755700565324e-03 1.351564056295606934e-04
4.390199554525206160e+00 1.584251389212706180e-03 1.671071899801689423e-03 1.535987970793284245e-03 1.512994501849585253e-03 1.350839290084051778e-04
