f	k2	P	P_fit	P_n	P_s
0.0000	0.0000	1.2682e-01	2.6466e-01	9.2293e-04	2.6374e-01
0.0100	0.0039	1.2692e-01	2.6466e-01	9.2292e-04	2.6373e-01
0.0200	0.0158	1.2725e-01	2.6464e-01	9.2291e-04	2.6372e-01
0.0300	0.0355	1.2779e-01	2.6461e-01	9.2290e-04	2.6369e-01
0.0400	0.0632	1.2856e-01	2.6457e-01	9.2288e-04	2.6365e-01
0.0500	0.0987	1.2955e-01	2.6453e-01	9.2285e-04	2.6360e-01
0.0600	0.1421	1.3077e-01	2.6447e-01	9.2282e-04	2.6354e-01
0.0700	0.1934	1.3222e-01	2.6440e-01	9.2279e-04	2.6347e-01
0.0800	0.2527	1.3392e-01	2.6432e-01	9.2274e-04	2.6339e-01
0.0900	0.3198	1.3586e-01	2.6422e-01	9.2270e-04	2.6330e-01
0.1000	0.3948	1.3805e-01	2.6412e-01	9.2264e-04	2.6320e-01
0.1100	0.4777	1.4051e-01	2.6401e-01	9.2258e-04	2.6309e-01
0.1200	0.5685	1.4325e-01	2.6388e-01	9.2252e-04	2.6296e-01
0.1300	0.6672	1.4627e-01	2.6375e-01	9.2245e-04	2.6283e-01
0.1400	0.7738	1.4959e-01	2.6360e-01	9.2237e-04	2.6268e-01
0.1500	0.8883	1.5322e-01	2.6345e-01	9.2229e-04	2.6253e-01
0.1600	1.0106	1.5716e-01	2.6328e-01	9.2220e-04	2.6236e-01
0.1700	1.1409	1.6145e-01	2.6310e-01	9.2210e-04	2.6218e-01
0.1800	1.2791	1.6608e-01	2.6292e-01	9.2200e-04	2.6199e-01
0.1900	1.4252	1.7107e-01	2.6272e-01	9.2190e-04	2.6180e-01
0.2000	1.5791	1.7644e-01	2.6251e-01	9.2179e-04	2.6159e-01
0.2100	1.7410	1.8220e-01	2.6229e-01	9.2167e-04	2.6137e-01
0.2200	1.9108	1.8835e-01	2.6206e-01	9.2155e-04	2.6114e-01
0.2300	2.0884	1.9491e-01	2.6182e-01	9.2142e-04	2.6090e-01
0.2400	2.2740	2.0188e-01	2.6157e-01	9.2129e-04	2.6065e-01
0.2500	2.4674	2.0926e-01	2.6131e-01	9.2115e-04	2.6039e-01
0.2600	2.6687	2.1706e-01	2.6103e-01	9.2101e-04	2.6011e-01
0.2700	2.8780	2.2526e-01	2.6075e-01	9.2086e-04	2.5983e-01
0.2800	3.0951	2.3384e-01	2.6046e-01	9.2070e-04	2.5954e-01
0.2900	3.3201	2.4280e-01	2.6016e-01	9.2054e-04	2.5924e-01
0.3000	3.5531	2.5208e-01	2.5984e-01	9.2037e-04	2.5892e-01
0.3100	3.7939	2.6165e-01	2.5952e-01	9.2020e-04	2.5860e-01
0.3200	4.0426	2.7146e-01	2.5919e-01	9.2002e-04	2.5827e-01
0.3300	4.2992	2.8143e-01	2.5884e-01	9.1984e-04	2.5792e-01
0.3400	4.5637	2.9150e-01	2.5849e-01	9.1965e-04	2.5757e-01
0.3500	4.8361	3.0155e-01	2.5813e-01	9.1946e-04	2.5721e-01
0.3600	5.1164	3.1150e-01	2.5775e-01	9.1926e-04	2.5683e-01
0.3700	5.4046	3.2122e-01	2.5737e-01	9.1905e-04	2.5645e-01
0.3800	5.7007	3.3060e-01	2.5698e-01	9.1884e-04	2.5606e-01
0.3900	6.0047	3.3952e-01	2.5657e-01	9.1862e-04	2.5565e-01
