f_18, P_18, f_D, P_D
0.000000000000000000e+00,1.362578754087769572e-01,0.000000000000000000e+00,9.523375326582330658e+00
4.988863130142279223e-02,1.383514563677465670e-01,4.988863130142279223e-02,9.644914381736160891e+00
9.977726260284558446e-02,1.447977279235256043e-01,9.977726260284558446e-02,1.001670927936424427e+01
1.496658939042683767e-01,1.560889598683446178e-01,1.496658939042683767e-01,1.065961572050673389e+01
1.995545252056911689e-01,1.730066053360281852e-01,1.995545252056911689e-01,1.160508741183357273e+01
2.494431565071139612e-01,1.964576673781394389e-01,2.494431565071139612e-01,1.288605274633051678e+01
2.993317878085367534e-01,2.269736065307553230e-01,2.993317878085367534e-01,1.451444853272444035e+01
3.492204191099596011e-01,2.635356145129784111e-01,3.492204191099596011e-01,1.643544876735126792e+01
3.991090504113823378e-01,3.016341274973999287e-01,3.991090504113823378e-01,1.845730914076158413e+01
4.489976817128051301e-01,3.319809569802240068e-01,4.489976817128051301e-01,2.019789828379138541e+01
4.988863130142279223e-01,3.435439225577807676e-01,4.988863130142279223e-01,2.115659895984310523e+01
5.487749443156507700e-01,3.315959435634191488e-01,5.487749443156507700e-01,2.098034871544993152e+01
5.986635756170735068e-01,3.020252893856936738e-01,5.986635756170735068e-01,1.972861261094783103e+01
6.485522069184963545e-01,2.657511123447112711e-01,6.485522069184963545e-01,1.782381964085038817e+01
6.984408382199192022e-01,2.312327490149429232e-01,6.984408382199192022e-01,1.575090632502443100e+01
7.483294695213419390e-01,2.023420872697297423e-01,7.483294695213419390e-01,1.383719268313701001e+01
7.982181008227646757e-01,1.798281976506523050e-01,7.982181008227646757e-01,1.222589928483253097e+01
8.481067321241875234e-01,1.630661507415253619e-01,8.481067321241875234e-01,1.094154706258282772e+01
8.979953634256102601e-01,1.510489565789123467e-01,8.979953634256102601e-01,9.954271580734694425e+00
9.478839947270329969e-01,1.427799446039664799e-01,9.478839947270329969e-01,9.217383182291525756e+00
9.977726260284558446e-01,1.373647620855736606e-01,9.977726260284558446e-01,8.683785543974030574e+00
1.047661257329878692e+00,1.339846956554265611e-01,1.047661257329878692e+00,8.310917601363652096e+00
1.097549888631301540e+00,1.318413040091968025e-01,1.097549888631301540e+00,8.060572645154362448e+00
1.147438519932724388e+00,1.301236365693073660e-01,1.147438519932724388e+00,7.896942658020638994e+00
1.197327151234147014e+00,1.280358980083028397e-01,1.197327151234147014e+00,7.784705612489741355e+00
1.247215782535569861e+00,1.249028294592139515e-01,1.247215782535569861e+00,7.688416216504466050e+00
1.297104413836992709e+00,1.203220267933751697e-01,1.297104413836992709e+00,7.574149475784460073e+00
1.346993045138415557e+00,1.142768648696295686e-01,1.346993045138415557e+00,7.413606000224293169e+00
1.396881676439838404e+00,1.071220656783447855e-01,1.396881676439838404e+00,7.189455314651999274e+00
1.446770307741261030e+00,9.943457380680134627e-02,1.446770307741261030e+00,6.899271471308280113e+00
1.496658939042683878e+00,9.181544709422508055e-02,1.496658939042683878e+00,6.555464271422982492e+00
1.546547570344106726e+00,8.474276032776517642e-02,1.546547570344106726e+00,6.180727285363391665e+00
1.596436201645529351e+00,7.851559436012425786e-02,1.596436201645529351e+00,5.801172664559780756e+00
1.646324832946952199e+00,7.326830160769320921e-02,1.646324832946952199e+00,5.440252026622143688e+00
1.696213464248375047e+00,6.901452008174049912e-02,1.696213464248375047e+00,5.115351231047306158e+00
1.746102095549797673e+00,6.569110312086236247e-02,1.746102095549797673e+00,4.837094018221867131e+00
1.795990726851220520e+00,6.318913913157599149e-02,1.795990726851220520e+00,4.610311930322043672e+00
1.845879358152643368e+00,6.137065921662178403e-02,1.845879358152643368e+00,4.435550322010462843e+00
1.895767989454065994e+00,6.007486359268787018e-02,1.895767989454065994e+00,4.310377984399735851e+00
1.945656620755488841e+00,5.911967525140324892e-02,1.945656620755488841e+00,4.230189007822373171e+00
1.995545252056911689e+00,5.830526404566436366e-02,1.995545252056911689e+00,4.188462491564432177e+00
2.045433883358334537e+00,5.742599334085091850e-02,2.045433883358334537e+00,4.176606891279878830e+00
2.095322514659757385e+00,5.629449060362296670e-02,2.095322514659757385e+00,4.183643517643546694e+00
2.145211145961180232e+00,5.477485781443118540e-02,2.145211145961180232e+00,4.196126338027293734e+00
2.195099777262603080e+00,5.281337343320460787e-02,2.195099777262603080e+00,4.198808760821253649e+00
2.244988408564025928e+00,5.045100347014280090e-02,2.244988408564025928e+00,4.176485437979003734e+00
2.294877039865448776e+00,4.780873974391137982e-02,2.294877039865448776e+00,4.116953958098429567e+00
2.344765671166871179e+00,4.505133166026082520e-02,2.344765671166871179e+00,4.014204051354042235e+00
2.394654302468294027e+00,4.234589732432279818e-02,2.394654302468294027e+00,3.870316640756459758e+00
2.444542933769716875e+00,3.983106066247987104e-02,2.444542933769716875e+00,3.694901911240124459e+00
2.494431565071139723e+00,3.760288150636120763e-02,2.494431565071139723e+00,3.502238324370415601e+00
2.544320196372562570e+00,3.571473616380890781e-02,2.544320196372562570e+00,3.307539791605187407e+00
2.594208827673985418e+00,3.418448186163933200e-02,2.594208827673985418e+00,3.123948481779256436e+00
2.644097458975407822e+00,3.300296947707436618e-02,2.644097458975407822e+00,2.961031030362631711e+00
2.693986090276831113e+00,3.214041952233381849e-02,2.693986090276831113e+00,2.824621215611985647e+00
2.743874721578253517e+00,3.154942920598334533e-02,2.743874721578253517e+00,2.717404113488605333e+00
2.793763352879676809e+00,3.116496948329596992e-02,2.793763352879676809e+00,2.639662368934798664e+00
2.843651984181099213e+00,3.090297533007030709e-02,2.843651984181099213e+00,2.589824280596952910e+00
2.893540615482522060e+00,3.066037726964537108e-02,2.893540615482522060e+00,2.564661793135453394e+00
2.943429246783944464e+00,3.032045154200748230e-02,2.943429246783944464e+00,2.559134123905580260e+00
2.993317878085367756e+00,2.976700584380679790e-02,2.993317878085367756e+00,2.566002073423701457e+00
3.043206509386790160e+00,2.890746677103769868e-02,3.043206509386790160e+00,2.575508563435514819e+00
3.093095140688213451e+00,2.769830651928056886e-02,3.093095140688213451e+00,2.575631441706290214e+00
3.142983771989635855e+00,2.616058202094543456e-02,3.142983771989635855e+00,2.553507021204188820e+00
3.192872403291058703e+00,2.437532015606336602e-02,3.192872403291058703e+00,2.498265187141518240e+00
3.242761034592481995e+00,2.245937512446701673e-02,3.242761034592481995e+00,2.404520162824057561e+00
3.292649665893904398e+00,2.053375241564676240e-02,3.292649665893904398e+00,2.274697859215432327e+00
3.342538297195327246e+00,1.869849905860191883e-02,3.342538297195327246e+00,2.118520932660970857e+00
3.392426928496750094e+00,1.702113702346682092e-02,3.392426928496750094e+00,1.949731598229739848e+00
3.442315559798172941e+00,1.553713582774970091e-02,3.442315559798172941e+00,1.781964800943925953e+00
3.492204191099595345e+00,1.425693319633205940e-02,3.492204191099595345e+00,1.625825060214183937e+00
3.542092822401018637e+00,1.317448694685028829e-02,3.542092822401018637e+00,1.487911764107129331e+00
3.591981453702441041e+00,1.227454775825446293e-02,3.591981453702441041e+00,1.371298719566629742e+00
3.641870085003864332e+00,1.153775869308146240e-02,3.641870085003864332e+00,1.276607179019197069e+00
3.691758716305286736e+00,1.094372859258633743e-02,3.691758716305286736e+00,1.203057312813835322e+00
3.741647347606709584e+00,1.047258226857373034e-02,3.741647347606709584e+00,1.149239958166089703e+00
3.791535978908131987e+00,1.010549551587378719e-02,3.791535978908131987e+00,1.113577228373437977e+00
3.841424610209555279e+00,9.824611339960806489e-03,3.841424610209555279e+00,1.094526019126924155e+00
3.891313241510977683e+00,9.612620541686158274e-03,3.891313241510977683e+00,1.090583824588903461e+00
3.941201872812400975e+00,9.452216024497622077e-03,3.941201872812400975e+00,1.100133903954139125e+00
3.991090504113823378e+00,9.325600995379896424e-03,3.991090504113823378e+00,1.121148312157729032e+00
4.040979135415246226e+00,9.214233866303348994e-03,4.040979135415246226e+00,1.150775388744428307e+00
4.090867766716669074e+00,9.099000536381150750e-03,4.090867766716669074e+00,1.184895995391426426e+00
4.140756398018091922e+00,8.960977635768982777e-03,4.140756398018091922e+00,1.217852403777327952e+00
4.190645029319514769e+00,8.782843273158228922e-03,4.190645029319514769e+00,1.242690136074263041e+00
4.240533660620937617e+00,8.550783080955835086e-03,4.240533660620937617e+00,1.252243104635859750e+00
4.290422291922360465e+00,8.256472164558320906e-03,4.290422291922360465e+00,1.241012573907812166e+00
